K,trainingSize,testingSize,accuracy
3,0.9,0.1,0.84
4,0.9,0.1,0.88
5,0.9,0.1,0.85
6,0.9,0.1,0.91
7,0.9,0.1,0.90
8,0.9,0.1,0.81
9,0.9,0.1,0.83
10,0.9,0.1,0.93
11,0.9,0.1,0.88
12,0.9,0.1,0.86
3,0.9,0.1,0.86
4,0.9,0.1,0.88
5,0.9,0.1,0.93
6,0.9,0.1,0.86
7,0.9,0.1,0.89
8,0.9,0.1,0.90
9,0.9,0.1,0.78
10,0.9,0.1,0.86
11,0.9,0.1,0.86
12,0.9,0.1,0.85
3,0.9,0.1,0.90
4,0.9,0.1,0.84
5,0.9,0.1,0.95
6,0.9,0.1,0.86
7,0.9,0.1,0.94
8,0.9,0.1,0.89
9,0.9,0.1,0.84
10,0.9,0.1,0.84
11,0.9,0.1,0.84
12,0.9,0.1,0.89
3,0.9,0.1,0.85
4,0.9,0.1,0.83
5,0.9,0.1,0.86
6,0.9,0.1,0.89
7,0.9,0.1,0.86
8,0.9,0.1,0.83
9,0.9,0.1,0.81
10,0.9,0.1,0.93
11,0.9,0.1,0.91
12,0.9,0.1,0.90
3,0.9,0.1,0.85
4,0.9,0.1,0.84
5,0.9,0.1,0.85
6,0.9,0.1,0.86
7,0.9,0.1,0.86
8,0.9,0.1,0.91
9,0.9,0.1,0.89
10,0.9,0.1,0.91
11,0.9,0.1,0.83
12,0.9,0.1,0.85
3,0.9,0.1,0.89
4,0.9,0.1,0.86
5,0.9,0.1,0.88
6,0.9,0.1,0.89
7,0.9,0.1,0.95
8,0.9,0.1,0.86
9,0.9,0.1,0.91
10,0.9,0.1,0.83
11,0.9,0.1,0.90
12,0.9,0.1,0.84
3,0.9,0.1,0.88
4,0.9,0.1,0.89
5,0.9,0.1,0.88
6,0.9,0.1,0.88
7,0.9,0.1,0.90
8,0.9,0.1,0.90
9,0.9,0.1,0.90
10,0.9,0.1,0.80
11,0.9,0.1,0.89
12,0.9,0.1,0.83
3,0.9,0.1,0.91
4,0.9,0.1,0.88
5,0.9,0.1,0.88
6,0.9,0.1,0.81
7,0.9,0.1,0.78
8,0.9,0.1,0.88
9,0.9,0.1,0.93
10,0.9,0.1,0.84
11,0.9,0.1,0.91
12,0.9,0.1,0.85
3,0.9,0.1,0.85
4,0.9,0.1,0.91
5,0.9,0.1,0.85
6,0.9,0.1,0.90
7,0.9,0.1,0.85
8,0.9,0.1,0.83
9,0.9,0.1,0.90
10,0.9,0.1,0.90
11,0.9,0.1,0.85
12,0.9,0.1,0.89
3,0.9,0.1,0.83
4,0.9,0.1,0.80
5,0.9,0.1,0.83
6,0.9,0.1,0.81
7,0.9,0.1,0.90
8,0.9,0.1,0.85
9,0.9,0.1,0.89
10,0.9,0.1,0.88
11,0.9,0.1,0.83
12,0.9,0.1,0.84
3,0.2,0.8,0.85
4,0.2,0.8,0.81
5,0.2,0.8,0.85
6,0.2,0.8,0.85
7,0.2,0.8,0.82
8,0.2,0.8,0.85
9,0.2,0.8,0.83
10,0.2,0.8,0.82
11,0.2,0.8,0.86
12,0.2,0.8,0.84
3,0.2,0.8,0.85
4,0.2,0.8,0.86
5,0.2,0.8,0.82
6,0.2,0.8,0.86
7,0.2,0.8,0.88
8,0.2,0.8,0.86
9,0.2,0.8,0.83
10,0.2,0.8,0.84
11,0.2,0.8,0.85
12,0.2,0.8,0.84
3,0.2,0.8,0.88
4,0.2,0.8,0.80
5,0.2,0.8,0.86
6,0.2,0.8,0.83
7,0.2,0.8,0.79
8,0.2,0.8,0.83
9,0.2,0.8,0.81
10,0.2,0.8,0.81
11,0.2,0.8,0.83
12,0.2,0.8,0.83
3,0.2,0.8,0.85
4,0.2,0.8,0.85
5,0.2,0.8,0.86
6,0.2,0.8,0.83
7,0.2,0.8,0.86
8,0.2,0.8,0.83
9,0.2,0.8,0.85
10,0.2,0.8,0.81
11,0.2,0.8,0.83
12,0.2,0.8,0.78
3,0.2,0.8,0.87
4,0.2,0.8,0.83
5,0.2,0.8,0.86
6,0.2,0.8,0.84
7,0.2,0.8,0.85
8,0.2,0.8,0.81
9,0.2,0.8,0.82
10,0.2,0.8,0.78
11,0.2,0.8,0.83
12,0.2,0.8,0.82
3,0.2,0.8,0.87
4,0.2,0.8,0.86
5,0.2,0.8,0.84
6,0.2,0.8,0.86
7,0.2,0.8,0.84
8,0.2,0.8,0.81
9,0.2,0.8,0.87
10,0.2,0.8,0.85
11,0.2,0.8,0.85
12,0.2,0.8,0.84
3,0.2,0.8,0.86
4,0.2,0.8,0.88
5,0.2,0.8,0.85
6,0.2,0.8,0.82
7,0.2,0.8,0.89
8,0.2,0.8,0.82
9,0.2,0.8,0.81
10,0.2,0.8,0.85
11,0.2,0.8,0.82
12,0.2,0.8,0.81
3,0.2,0.8,0.83
4,0.2,0.8,0.83
5,0.2,0.8,0.85
6,0.2,0.8,0.84
7,0.2,0.8,0.84
8,0.2,0.8,0.83
9,0.2,0.8,0.86
10,0.2,0.8,0.83
11,0.2,0.8,0.86
12,0.2,0.8,0.82
3,0.2,0.8,0.86
4,0.2,0.8,0.86
5,0.2,0.8,0.86
6,0.2,0.8,0.78
7,0.2,0.8,0.87
8,0.2,0.8,0.80
9,0.2,0.8,0.84
10,0.2,0.8,0.79
11,0.2,0.8,0.78
12,0.2,0.8,0.85
3,0.2,0.8,0.83
4,0.2,0.8,0.84
5,0.2,0.8,0.85
6,0.2,0.8,0.84
7,0.2,0.8,0.85
8,0.2,0.8,0.82
9,0.2,0.8,0.87
10,0.2,0.8,0.83
11,0.2,0.8,0.88
12,0.2,0.8,0.82
3,0.3,0.7,0.86
4,0.3,0.7,0.85
5,0.3,0.7,0.86
6,0.3,0.7,0.84
7,0.3,0.7,0.84
8,0.3,0.7,0.85
9,0.3,0.7,0.86
10,0.3,0.7,0.86
11,0.3,0.7,0.84
12,0.3,0.7,0.85
3,0.3,0.7,0.88
4,0.3,0.7,0.86
5,0.3,0.7,0.87
6,0.3,0.7,0.88
