test_courriel_ID,training_courriel_ID,distance,type
0495.a13bce4369913c929a48b073f2b320c9,2186.9dc59321a95e53d5e0ebaf3524858913,19.18332609,ham
0495.a13bce4369913c929a48b073f2b320c9,1317.1f1768dfe09568d0096b0bca8987e467,23.10844002,ham
0495.a13bce4369913c929a48b073f2b320c9,2371.ae43ed9fd99265129afac0caecaaedfa,19.41648784,ham
0495.a13bce4369913c929a48b073f2b320c9,0371.9d01da72c49d57814fa8a37c7b981bf1,20.90454496,ham
0495.a13bce4369913c929a48b073f2b320c9,0998.9b9e34483f3588514be24dd97961764b,21.86321111,ham
0495.a13bce4369913c929a48b073f2b320c9,1544.011827fa2f89828e83bae7f6995576df,24.41311123,ham
0495.a13bce4369913c929a48b073f2b320c9,1852.da79f6e9c4f07174e5dec173c9481b99,23.08679276,ham
0495.a13bce4369913c929a48b073f2b320c9,0137.015cd0ece1324c5514e742e224a77213,21.67948339,ham
0495.a13bce4369913c929a48b073f2b320c9,0357.1dbdc4d7a9e7e290455af62c1df78649,36.26292873,ham
0495.a13bce4369913c929a48b073f2b320c9,0603.4582f2bcf4795cdd8136e04313f0c0fc,21.42428529,ham
0495.a13bce4369913c929a48b073f2b320c9,0017.d81093a2182fc9135df6d9158a8ebfd6,22.02271555,ham
0495.a13bce4369913c929a48b073f2b320c9,1224.7917f240eb278ea2028d92515d8c3dbc,22.7815715,ham
0495.a13bce4369913c929a48b073f2b320c9,0792.aed10efc4504d5991f7894ffbd496ab4,20.5669638,ham
0495.a13bce4369913c929a48b073f2b320c9,0475.d5afc23cfec40c4cd65198f1e88a193d,22.04540769,ham
0495.a13bce4369913c929a48b073f2b320c9,1284.bacf47285c3f6a514443b4d013d5736a,22.7815715,ham
0495.a13bce4369913c929a48b073f2b320c9,2071.fe91cbaba0f2ad7c725d9614721e7ab6,19.20937271,ham
0495.a13bce4369913c929a48b073f2b320c9,0611.4a47b06e83edee6c61ba37d1be2a09d0,28.35489376,ham
0495.a13bce4369913c929a48b073f2b320c9,0942.dde76db87ad1670783cc76def075f6c0,25.82634314,ham
0495.a13bce4369913c929a48b073f2b320c9,1941.a36b85a4d1e7b2898662ebb36e7c1072,19.57038579,ham
0495.a13bce4369913c929a48b073f2b320c9,1916.de9bd1f5764cf1615cfdfa0d7ecffeb1,21.23676058,ham
0495.a13bce4369913c929a48b073f2b320c9,1983.d260d5a28ff1ef0d9c81e1a509d6d99f,19.49358869,ham
0495.a13bce4369913c929a48b073f2b320c9,2399.8815bb6c714226c9a83ad8d743d7688d,19.62141687,ham
0495.a13bce4369913c929a48b073f2b320c9,1047.816db4421a9757ddbb0acbe7baecd0b0,24.81934729,ham
0495.a13bce4369913c929a48b073f2b320c9,1792.f3dfa7db118b7738bcdaa1cd81a0f1e2,19.72308292,ham
0495.a13bce4369913c929a48b073f2b320c9,1445.57f9856f348cda1656331372731701eb,24.93992783,ham
