K,trainingSize,testingSize,accuracy
2,0.9,0.1,0.90
3,0.9,0.1,0.90
4,0.9,0.1,0.90
5,0.9,0.1,0.85
6,0.9,0.1,0.88
7,0.9,0.1,0.88
8,0.9,0.1,0.86
9,0.9,0.1,0.86
10,0.9,0.1,0.86
11,0.9,0.1,0.88
12,0.9,0.1,0.88
13,0.9,0.1,0.83
14,0.9,0.1,0.88
15,0.9,0.1,0.85
16,0.9,0.1,0.79
17,0.9,0.1,0.88
18,0.9,0.1,0.86
19,0.9,0.1,0.83
20,0.9,0.1,0.84
2,0.9,0.1,0.89
3,0.9,0.1,0.89
4,0.9,0.1,0.90
5,0.9,0.1,0.84
6,0.9,0.1,0.91
7,0.9,0.1,0.85
8,0.9,0.1,0.90
9,0.9,0.1,0.91
10,0.9,0.1,0.84
11,0.9,0.1,0.88
12,0.9,0.1,0.85
13,0.9,0.1,0.90
14,0.9,0.1,0.88
15,0.9,0.1,0.86
16,0.9,0.1,0.89
17,0.9,0.1,0.90
18,0.9,0.1,0.86
19,0.9,0.1,0.81
20,0.9,0.1,0.84
2,0.9,0.1,0.88
3,0.9,0.1,0.89
4,0.9,0.1,0.91
5,0.9,0.1,0.90
6,0.9,0.1,0.80
7,0.9,0.1,0.85
8,0.9,0.1,0.88
9,0.9,0.1,0.75
10,0.9,0.1,0.83
11,0.9,0.1,0.83
12,0.9,0.1,0.90
13,0.9,0.1,0.83
14,0.9,0.1,0.88
15,0.9,0.1,0.81
16,0.9,0.1,0.86
17,0.9,0.1,0.85
18,0.9,0.1,0.90
19,0.9,0.1,0.86
20,0.9,0.1,0.81
2,0.9,0.1,0.91
3,0.9,0.1,0.96
4,0.9,0.1,0.86
5,0.9,0.1,0.86
6,0.9,0.1,0.84
7,0.9,0.1,0.84
8,0.9,0.1,0.88
9,0.9,0.1,0.85
10,0.9,0.1,0.90
11,0.9,0.1,0.86
12,0.9,0.1,0.93
13,0.9,0.1,0.83
14,0.9,0.1,0.86
15,0.9,0.1,0.90
16,0.9,0.1,0.90
17,0.9,0.1,0.83
18,0.9,0.1,0.79
19,0.9,0.1,0.84
20,0.9,0.1,0.86
2,0.9,0.1,0.88
3,0.9,0.1,0.80
4,0.9,0.1,0.86
5,0.9,0.1,0.85
6,0.9,0.1,0.90
7,0.9,0.1,0.89
8,0.9,0.1,0.85
9,0.9,0.1,0.84
10,0.9,0.1,0.86
11,0.9,0.1,0.93
12,0.9,0.1,0.89
13,0.9,0.1,0.85
14,0.9,0.1,0.85
15,0.9,0.1,0.93
16,0.9,0.1,0.86
17,0.9,0.1,0.89
18,0.9,0.1,0.91
19,0.9,0.1,0.90
20,0.9,0.1,0.86
2,0.9,0.1,0.84
3,0.9,0.1,0.86
4,0.9,0.1,0.83
5,0.9,0.1,0.88
6,0.9,0.1,0.91
7,0.9,0.1,0.89
8,0.9,0.1,0.88
9,0.9,0.1,0.88
10,0.9,0.1,0.90
11,0.9,0.1,0.83
12,0.9,0.1,0.90
13,0.9,0.1,0.85
14,0.9,0.1,0.86
15,0.9,0.1,0.89
16,0.9,0.1,0.88
17,0.9,0.1,0.90
18,0.9,0.1,0.86
19,0.9,0.1,0.85
20,0.9,0.1,0.93
2,0.9,0.1,0.93
3,0.9,0.1,0.89
4,0.9,0.1,0.83
5,0.9,0.1,0.89
6,0.9,0.1,0.88
7,0.9,0.1,0.90
8,0.9,0.1,0.83
9,0.9,0.1,0.91
10,0.9,0.1,0.88
