k,trainingSize,testingSize,correct_over_total
3,0.1,0.9,0.89
4,0.1,0.9,0.76
5,0.1,0.9,0.89
6,0.1,0.9,0.52
7,0.1,0.9,0.65
8,0.1,0.9,0.63
9,0.1,0.9,0.65
10,0.1,0.9,0.32
11,0.1,0.9,0.33
12,0.1,0.9,0.32
3,0.1,0.9,0.85
4,0.1,0.9,0.86
5,0.1,0.9,0.93
6,0.1,0.9,0.54
7,0.1,0.9,0.63
8,0.1,0.9,0.48
9,0.1,0.9,0.64
10,0.1,0.9,0.42
11,0.1,0.9,0.32
12,0.1,0.9,0.61
3,0.1,0.9,0.89
4,0.1,0.9,0.44
5,0.1,0.9,0.93
6,0.1,0.9,0.84
7,0.1,0.9,0.30
8,0.1,0.9,0.43
9,0.1,0.9,0.65
10,0.1,0.9,0.54
11,0.1,0.9,0.32
12,0.1,0.9,0.65
3,0.1,0.9,0.89
4,0.1,0.9,0.87
5,0.1,0.9,0.90
6,0.1,0.9,0.88
7,0.1,0.9,0.57
8,0.1,0.9,0.57
9,0.1,0.9,0.64
10,0.1,0.9,0.32
11,0.1,0.9,0.32
12,0.1,0.9,0.63
3,0.1,0.9,0.91
4,0.1,0.9,0.78
5,0.1,0.9,0.93
6,0.1,0.9,0.66
7,0.1,0.9,0.88
8,0.1,0.9,0.88
9,0.1,0.9,0.64
10,0.1,0.9,0.37
11,0.1,0.9,0.32
12,0.1,0.9,0.32
3,0.1,0.9,0.90
4,0.1,0.9,0.93
5,0.1,0.9,0.88
6,0.1,0.9,0.88
7,0.1,0.9,0.64
8,0.1,0.9,0.65
9,0.1,0.9,0.57
10,0.1,0.9,0.70
11,0.1,0.9,0.64
12,0.1,0.9,0.32
3,0.1,0.9,0.90
4,0.1,0.9,0.66
5,0.1,0.9,0.95
6,0.1,0.9,0.48
7,0.1,0.9,0.64
8,0.1,0.9,0.54
9,0.1,0.9,0.45
10,0.1,0.9,0.57
11,0.1,0.9,0.54
12,0.1,0.9,0.46
3,0.1,0.9,0.86
4,0.1,0.9,0.89
5,0.1,0.9,0.93
6,0.1,0.9,0.65
7,0.1,0.9,0.88
8,0.1,0.9,0.63
9,0.1,0.9,0.65
10,0.1,0.9,0.65
11,0.1,0.9,0.32
12,0.1,0.9,0.51
3,0.1,0.9,0.96
4,0.1,0.9,0.79
5,0.1,0.9,0.64
6,0.1,0.9,0.90
7,0.1,0.9,0.92
8,0.1,0.9,0.31
9,0.1,0.9,0.54
10,0.1,0.9,0.30
11,0.1,0.9,0.32
12,0.1,0.9,0.37
3,0.1,0.9,0.95
4,0.1,0.9,0.92
5,0.1,0.9,0.76
6,0.1,0.9,0.65
7,0.1,0.9,0.50
8,0.1,0.9,0.54
9,0.1,0.9,0.32
10,0.1,0.9,0.52
11,0.1,0.9,0.63
12,0.1,0.9,0.65
3,0.1,0.9,0.89
4,0.1,0.9,0.94
5,0.1,0.9,0.63
6,0.1,0.9,0.61
7,0.1,0.9,0.90
8,0.1,0.9,0.60
9,0.1,0.9,0.77
10,0.1,0.9,0.69
11,0.1,0.9,0.38
12,0.1,0.9,0.31
3,0.1,0.9,0.90
4,0.1,0.9,0.63
5,0.1,0.9,0.90
6,0.1,0.9,0.85
7,0.1,0.9,0.63
8,0.1,0.9,0.54
9,0.1,0.9,0.65
10,0.1,0.9,0.32
11,0.1,0.9,0.38
