K,trainingSize,testingSize,accuracy
2,0.9,0.1,0.73
3,0.9,0.1,0.84
4,0.9,0.1,0.84
5,0.9,0.1,0.73
6,0.9,0.1,0.77
7,0.9,0.1,0.75
8,0.9,0.1,0.77
9,0.9,0.1,0.81
10,0.9,0.1,0.75
11,0.9,0.1,0.75
12,0.9,0.1,0.79
13,0.9,0.1,0.77
14,0.9,0.1,0.79
15,0.9,0.1,0.74
16,0.9,0.1,0.72
17,0.9,0.1,0.78
18,0.9,0.1,0.68
19,0.9,0.1,0.74
20,0.9,0.1,0.75
2,0.9,0.1,0.81
3,0.9,0.1,0.80
4,0.9,0.1,0.81
5,0.9,0.1,0.81
6,0.9,0.1,0.79
7,0.9,0.1,0.79
8,0.9,0.1,0.72
9,0.9,0.1,0.83
10,0.9,0.1,0.80
11,0.9,0.1,0.81
12,0.9,0.1,0.72
13,0.9,0.1,0.74
14,0.9,0.1,0.80
15,0.9,0.1,0.73
16,0.9,0.1,0.74
17,0.9,0.1,0.68
18,0.9,0.1,0.77
19,0.9,0.1,0.75
20,0.9,0.1,0.78
2,0.9,0.1,0.78
3,0.9,0.1,0.85
4,0.9,0.1,0.81
5,0.9,0.1,0.81
6,0.9,0.1,0.83
7,0.9,0.1,0.77
8,0.9,0.1,0.78
9,0.9,0.1,0.78
10,0.9,0.1,0.70
11,0.9,0.1,0.72
12,0.9,0.1,0.74
13,0.9,0.1,0.74
14,0.9,0.1,0.65
15,0.9,0.1,0.64
16,0.9,0.1,0.89
17,0.9,0.1,0.77
18,0.9,0.1,0.77
19,0.9,0.1,0.78
20,0.9,0.1,0.77
2,0.9,0.1,0.84
3,0.9,0.1,0.70
4,0.9,0.1,0.81
5,0.9,0.1,0.80
6,0.9,0.1,0.85
7,0.9,0.1,0.84
8,0.9,0.1,0.84
9,0.9,0.1,0.78
10,0.9,0.1,0.74
11,0.9,0.1,0.77
2,0.9,0.1,0.74
12,0.9,0.1,0.72
3,0.9,0.1,0.83
13,0.9,0.1,0.80
4,0.9,0.1,0.77
14,0.9,0.1,0.73
5,0.9,0.1,0.78
15,0.9,0.1,0.81
6,0.9,0.1,0.75
16,0.9,0.1,0.80
7,0.9,0.1,0.83
17,0.9,0.1,0.85
8,0.9,0.1,0.75
18,0.9,0.1,0.78
9,0.9,0.1,0.80
19,0.9,0.1,0.77
10,0.9,0.1,0.77
20,0.9,0.1,0.75
11,0.9,0.1,0.77
2,0.9,0.1,0.70
12,0.9,0.1,0.78
3,0.9,0.1,0.84
13,0.9,0.1,0.70
4,0.9,0.1,0.78
14,0.9,0.1,0.77
5,0.9,0.1,0.85
15,0.9,0.1,0.75
16,0.9,0.1,0.69
2,0.9,0.1,0.80
3,0.9,0.1,0.79
4,0.9,0.1,0.81
5,0.9,0.1,0.64
6,0.9,0.1,0.77
7,0.9,0.1,0.79
8,0.9,0.1,0.74
9,0.9,0.1,0.81
10,0.9,0.1,0.75
11,0.9,0.1,0.85
12,0.9,0.1,0.75
13,0.9,0.1,0.69
14,0.9,0.1,0.72
15,0.9,0.1,0.72
16,0.9,0.1,0.68
17,0.9,0.1,0.72
18,0.9,0.1,0.78
19,0.9,0.1,0.74
20,0.9,0.1,0.72
2,0.9,0.1,0.73
3,0.9,0.1,0.81
4,0.9,0.1,0.80
5,0.9,0.1,0.90
6,0.9,0.1,0.78
7,0.9,0.1,0.77
8,0.9,0.1,0.80
9,0.9,0.1,0.70
10,0.9,0.1,0.67
11,0.9,0.1,0.70
12,0.9,0.1,0.75
13,0.9,0.1,0.84
14,0.9,0.1,0.69
15,0.9,0.1,0.77
16,0.9,0.1,0.74
17,0.9,0.1,0.69
18,0.9,0.1,0.67
19,0.9,0.1,0.74
20,0.9,0.1,0.80
2,0.9,0.1,0.84
3,0.9,0.1,0.79
4,0.9,0.1,0.80
5,0.9,0.1,0.83
6,0.9,0.1,0.79
7,0.9,0.1,0.77
8,0.9,0.1,0.73
9,0.9,0.1,0.81
10,0.9,0.1,0.78
11,0.9,0.1,0.80
12,0.9,0.1,0.77
13,0.9,0.1,0.74
14,0.9,0.1,0.73
15,0.9,0.1,0.67
16,0.9,0.1,0.70
17,0.9,0.1,0.78
18,0.9,0.1,0.79
19,0.9,0.1,0.78
20,0.9,0.1,0.81
2,0.9,0.1,0.78
3,0.9,0.1,0.77
4,0.9,0.1,0.83
5,0.9,0.1,0.75
6,0.9,0.1,0.77
7,0.9,0.1,0.89
8,0.9,0.1,0.85
9,0.9,0.1,0.81
10,0.9,0.1,0.74
11,0.9,0.1,0.84
12,0.9,0.1,0.78
13,0.9,0.1,0.72
14,0.9,0.1,0.81
15,0.9,0.1,0.73
16,0.9,0.1,0.78
17,0.9,0.1,0.77
18,0.9,0.1,0.74
19,0.9,0.1,0.72
20,0.9,0.1,0.62
2,0.9,0.1,0.79
3,0.9,0.1,0.80
4,0.9,0.1,0.79
5,0.9,0.1,0.78
6,0.9,0.1,0.74
7,0.9,0.1,0.81
8,0.9,0.1,0.68
9,0.9,0.1,0.70
10,0.9,0.1,0.72
11,0.9,0.1,0.73
12,0.9,0.1,0.73
13,0.9,0.1,0.73
14,0.9,0.1,0.77
15,0.9,0.1,0.72
16,0.9,0.1,0.78
17,0.9,0.1,0.68
18,0.9,0.1,0.74
19,0.9,0.1,0.69
20,0.9,0.1,0.75
2,0.9,0.1,0.70
3,0.9,0.1,0.80
4,0.9,0.1,0.78
5,0.9,0.1,0.83
6,0.9,0.1,0.68
7,0.9,0.1,0.81
8,0.9,0.1,0.81
9,0.9,0.1,0.83
10,0.9,0.1,0.68
11,0.9,0.1,0.77
12,0.9,0.1,0.79
13,0.9,0.1,0.77
14,0.9,0.1,0.78
15,0.9,0.1,0.79
16,0.9,0.1,0.79
17,0.9,0.1,0.78
18,0.9,0.1,0.73
19,0.9,0.1,0.72
20,0.9,0.1,0.73
2,0.9,0.1,0.79
3,0.9,0.1,0.85
4,0.9,0.1,0.65
5,0.9,0.1,0.77
6,0.9,0.1,0.81
7,0.9,0.1,0.70
8,0.9,0.1,0.78
9,0.9,0.1,0.72
10,0.9,0.1,0.81
11,0.9,0.1,0.72
12,0.9,0.1,0.78
13,0.9,0.1,0.72
14,0.9,0.1,0.68
15,0.9,0.1,0.74
16,0.9,0.1,0.80
