processing,K,trainingSize,testingSize,ratio
none,3,0.1,0.9,0.85
none,4,0.1,0.9,0.86
none,5,0.1,0.9,0.86
none,6,0.1,0.9,0.86
none,7,0.1,0.9,0.87
none,8,0.1,0.9,0.85
none,9,0.1,0.9,0.86
none,10,0.1,0.9,0.86
none,11,0.1,0.9,0.86
none,12,0.1,0.9,0.85
none,3,0.1,0.9,0.87
none,4,0.1,0.9,0.87
none,5,0.1,0.9,0.86
none,6,0.1,0.9,0.86
none,7,0.1,0.9,0.86
none,8,0.1,0.9,0.85
none,9,0.1,0.9,0.86
none,10,0.1,0.9,0.85
none,11,0.1,0.9,0.84
none,12,0.1,0.9,0.84
none,3,0.1,0.9,0.87
none,4,0.1,0.9,0.85
none,5,0.1,0.9,0.86
none,6,0.1,0.9,0.85
none,7,0.1,0.9,0.85
none,8,0.1,0.9,0.85
none,9,0.1,0.9,0.87
none,10,0.1,0.9,0.85
none,11,0.1,0.9,0.84
none,12,0.1,0.9,0.84
none,3,0.1,0.9,0.86
none,4,0.1,0.9,0.86
none,5,0.1,0.9,0.87
none,6,0.1,0.9,0.86
none,7,0.1,0.9,0.86
none,8,0.1,0.9,0.85
none,9,0.1,0.9,0.87
none,10,0.1,0.9,0.85
none,11,0.1,0.9,0.86
none,12,0.1,0.9,0.85
none,3,0.1,0.9,0.85
none,4,0.1,0.9,0.87
none,5,0.1,0.9,0.86
none,6,0.1,0.9,0.86
none,7,0.1,0.9,0.86
none,8,0.1,0.9,0.86
none,9,0.1,0.9,0.86
none,10,0.1,0.9,0.86
none,11,0.1,0.9,0.83
none,12,0.1,0.9,0.84
none,3,0.1,0.9,0.84
none,4,0.1,0.9,0.87
none,5,0.1,0.9,0.86
none,6,0.1,0.9,0.87
none,7,0.1,0.9,0.87
none,8,0.1,0.9,0.86
none,9,0.1,0.9,0.86
none,10,0.1,0.9,0.84
none,11,0.1,0.9,0.85
none,12,0.1,0.9,0.84
none,3,0.1,0.9,0.87
none,4,0.1,0.9,0.86
none,5,0.1,0.9,0.85
none,6,0.1,0.9,0.86
none,7,0.1,0.9,0.86
none,8,0.1,0.9,0.87
none,9,0.1,0.9,0.85
none,10,0.1,0.9,0.86
none,11,0.1,0.9,0.85
none,12,0.1,0.9,0.85
none,3,0.1,0.9,0.86
none,4,0.1,0.9,0.85
none,5,0.1,0.9,0.87
none,6,0.1,0.9,0.87
none,7,0.1,0.9,0.85
none,8,0.1,0.9,0.85
none,9,0.1,0.9,0.87
none,10,0.1,0.9,0.86
none,11,0.1,0.9,0.85
none,12,0.1,0.9,0.86
none,3,0.1,0.9,0.87
none,4,0.1,0.9,0.85
none,5,0.1,0.9,0.86
none,6,0.1,0.9,0.86
none,7,0.1,0.9,0.85
none,8,0.1,0.9,0.85
none,9,0.1,0.9,0.86
none,10,0.1,0.9,0.85
none,11,0.1,0.9,0.86
none,3,0.1,0.9,0.86
none,4,0.1,0.9,0.87
none,5,0.1,0.9,0.87
none,6,0.1,0.9,0.86
none,7,0.1,0.9,0.87
none,8,0.1,0.9,0.84
none,9,0.1,0.9,0.85
none,10,0.1,0.9,0.85
none,11,0.1,0.9,0.85
none,12,0.1,0.9,0.84
none,3,0.1,0.9,0.86
none,4,0.1,0.9,0.86
none,5,0.1,0.9,0.88
none,6,0.1,0.9,0.86
none,7,0.1,0.9,0.87
