K,trainingSize,testingSize,ratio
3,0.9,0.1,0.92
4,0.9,0.1,0.95
5,0.9,0.1,0.94
6,0.9,0.1,0.93
7,0.9,0.1,0.95
8,0.9,0.1,0.90
9,0.9,0.1,0.92
10,0.9,0.1,0.97
11,0.9,0.1,0.90
12,0.9,0.1,0.95
3,0.9,0.1,0.93
4,0.9,0.1,0.92
5,0.9,0.1,0.94
6,0.9,0.1,0.93
7,0.9,0.1,0.91
8,0.9,0.1,0.90
9,0.9,0.1,0.92
10,0.9,0.1,0.94
11,0.9,0.1,0.94
12,0.9,0.1,0.92
3,0.9,0.1,0.93
4,0.9,0.1,0.93
3,0.9,0.1,0.92
4,0.9,0.1,0.93
5,0.9,0.1,0.93
6,0.9,0.1,0.94
7,0.9,0.1,0.94
8,0.9,0.1,0.93
9,0.9,0.1,0.94
10,0.9,0.1,0.93
11,0.9,0.1,0.94
12,0.9,0.1,0.93
3,0.9,0.1,0.93
4,0.9,0.1,0.91
5,0.9,0.1,0.94
6,0.9,0.1,0.92
7,0.9,0.1,0.93
8,0.9,0.1,0.95
9,0.9,0.1,0.95
10,0.9,0.1,0.91
11,0.9,0.1,0.92
12,0.9,0.1,0.95
3,0.9,0.1,0.94
4,0.9,0.1,0.94
5,0.9,0.1,0.92
6,0.9,0.1,0.92
7,0.9,0.1,0.92
8,0.9,0.1,0.92
9,0.9,0.1,0.93
10,0.9,0.1,0.92
11,0.9,0.1,0.92
12,0.9,0.1,0.95
3,0.9,0.1,0.92
4,0.9,0.1,0.94
5,0.9,0.1,0.96
6,0.9,0.1,0.91
7,0.9,0.1,0.93
8,0.9,0.1,0.93
9,0.9,0.1,0.94
10,0.9,0.1,0.97
11,0.9,0.1,0.93
12,0.9,0.1,0.93
3,0.9,0.1,0.92
4,0.9,0.1,0.94
5,0.9,0.1,0.93
6,0.9,0.1,0.94
7,0.9,0.1,0.94
8,0.9,0.1,0.95
9,0.9,0.1,0.93
10,0.9,0.1,0.92
11,0.9,0.1,0.94
12,0.9,0.1,0.92
3,0.9,0.1,0.92
4,0.9,0.1,0.92
5,0.9,0.1,0.93
6,0.9,0.1,0.93
7,0.9,0.1,0.93
8,0.9,0.1,0.91
9,0.9,0.1,0.94
10,0.9,0.1,0.93
11,0.9,0.1,0.95
12,0.9,0.1,0.93
3,0.9,0.1,0.94
4,0.9,0.1,0.92
5,0.9,0.1,0.95
6,0.9,0.1,0.96
7,0.9,0.1,0.92
8,0.9,0.1,0.93
9,0.9,0.1,0.94
10,0.9,0.1,0.94
11,0.9,0.1,0.92
12,0.9,0.1,0.94
3,0.9,0.1,0.94
4,0.9,0.1,0.92
5,0.9,0.1,0.91
6,0.9,0.1,0.93
7,0.9,0.1,0.95
8,0.9,0.1,0.92
9,0.9,0.1,0.97
10,0.9,0.1,0.94
11,0.9,0.1,0.95
12,0.9,0.1,0.92
3,0.9,0.1,0.94
4,0.9,0.1,0.93
5,0.9,0.1,0.92
6,0.9,0.1,0.92
7,0.9,0.1,0.94
8,0.9,0.1,0.94
9,0.9,0.1,0.92
10,0.9,0.1,0.93
11,0.9,0.1,0.95
12,0.9,0.1,0.90
3,0.9,0.1,0.92
4,0.9,0.1,0.95
5,0.9,0.1,0.94
6,0.9,0.1,0.94
7,0.9,0.1,0.92
8,0.9,0.1,0.95
9,0.9,0.1,0.94
10,0.9,0.1,0.93
11,0.9,0.1,0.95
12,0.9,0.1,0.92
3,0.2,0.8,0.93
4,0.2,0.8,0.92
5,0.2,0.8,0.93
6,0.2,0.8,0.92
7,0.2,0.8,0.91
8,0.2,0.8,0.93
9,0.2,0.8,0.93
10,0.2,0.8,0.91
11,0.2,0.8,0.91
12,0.2,0.8,0.92
3,0.2,0.8,0.91
4,0.2,0.8,0.92
5,0.2,0.8,0.92
6,0.2,0.8,0.92
7,0.2,0.8,0.93
8,0.2,0.8,0.93
9,0.2,0.8,0.91
10,0.2,0.8,0.91
11,0.2,0.8,0.92
12,0.2,0.8,0.91
3,0.2,0.8,0.92
4,0.2,0.8,0.91
5,0.2,0.8,0.92
6,0.2,0.8,0.92
7,0.2,0.8,0.93
8,0.2,0.8,0.93
9,0.2,0.8,0.93
10,0.2,0.8,0.93
11,0.2,0.8,0.91
