K,trainingSize,testingSize,ratio
3,0.9,0.1,0.79
4,0.9,0.1,0.89
5,0.9,0.1,0.75
6,0.9,0.1,0.79
7,0.9,0.1,0.79
8,0.9,0.1,0.89
9,0.9,0.1,0.88
10,0.9,0.1,0.89
11,0.9,0.1,0.88
12,0.9,0.1,0.88
3,0.9,0.1,0.86
4,0.9,0.1,0.86
5,0.9,0.1,0.80
6,0.9,0.1,0.86
7,0.9,0.1,0.83
8,0.9,0.1,0.83
9,0.9,0.1,0.85
10,0.9,0.1,0.88
11,0.9,0.1,0.79
12,0.9,0.1,0.79
3,0.9,0.1,0.89
4,0.9,0.1,0.83
5,0.9,0.1,0.88
6,0.9,0.1,0.83
7,0.9,0.1,0.86
8,0.9,0.1,0.81
9,0.9,0.1,0.78
10,0.9,0.1,0.78
11,0.9,0.1,0.79
12,0.9,0.1,0.78
3,0.9,0.1,0.85
4,0.9,0.1,0.83
5,0.9,0.1,0.85
6,0.9,0.1,0.83
7,0.9,0.1,0.89
8,0.9,0.1,0.74
9,0.9,0.1,0.85
10,0.9,0.1,0.83
11,0.9,0.1,0.88
12,0.9,0.1,0.81
3,0.9,0.1,0.88
4,0.9,0.1,0.77
5,0.9,0.1,0.86
6,0.9,0.1,0.84
7,0.9,0.1,0.77
8,0.9,0.1,0.85
9,0.9,0.1,0.83
10,0.9,0.1,0.85
11,0.9,0.1,0.85
12,0.9,0.1,0.84
3,0.9,0.1,0.79
4,0.9,0.1,0.78
5,0.9,0.1,0.84
6,0.9,0.1,0.86
7,0.9,0.1,0.89
8,0.9,0.1,0.90
9,0.9,0.1,0.79
10,0.9,0.1,0.85
11,0.9,0.1,0.86
12,0.9,0.1,0.79
3,0.9,0.1,0.89
4,0.9,0.1,0.80
5,0.9,0.1,0.81
6,0.9,0.1,0.90
7,0.9,0.1,0.88
8,0.9,0.1,0.84
9,0.9,0.1,0.89
10,0.9,0.1,0.83
11,0.9,0.1,0.84
12,0.9,0.1,0.79
3,0.9,0.1,0.81
4,0.9,0.1,0.88
5,0.9,0.1,0.86
6,0.9,0.1,0.83
7,0.9,0.1,0.88
8,0.9,0.1,0.85
9,0.9,0.1,0.90
10,0.9,0.1,0.86
11,0.9,0.1,0.88
12,0.9,0.1,0.85
3,0.9,0.1,0.94
4,0.9,0.1,0.85
5,0.9,0.1,0.84
6,0.9,0.1,0.81
7,0.9,0.1,0.85
8,0.9,0.1,0.77
9,0.9,0.1,0.90
10,0.9,0.1,0.81
11,0.9,0.1,0.83
12,0.9,0.1,0.91
3,0.9,0.1,0.90
4,0.9,0.1,0.81
5,0.9,0.1,0.80
6,0.9,0.1,0.81
7,0.9,0.1,0.83
8,0.9,0.1,0.78
9,0.9,0.1,0.88
10,0.9,0.1,0.86
11,0.9,0.1,0.78
12,0.9,0.1,0.83
3,0.2,0.8,0.80
4,0.2,0.8,0.78
5,0.2,0.8,0.82
6,0.2,0.8,0.81
7,0.2,0.8,0.83
8,0.2,0.8,0.77
9,0.2,0.8,0.82
10,0.2,0.8,0.80
