testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574294353403,Iris-virginica,Iris-virginica,4,0.8,0.2,1
1,1574294353404,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
2,1574294353404,Iris-virginica,Iris-virginica,4,0.8,0.2,1
3,1574294353405,Iris-virginica,Iris-versicolor,4,0.8,0.2,0
4,1574294353405,Iris-virginica,Iris-virginica,4,0.8,0.2,1
5,1574294353406,Iris-setosa,Iris-setosa,4,0.8,0.2,1
6,1574294353406,Iris-virginica,Iris-virginica,4,0.8,0.2,1
7,1574294353407,Iris-setosa,Iris-setosa,4,0.8,0.2,1
8,1574294353407,Iris-setosa,Iris-setosa,4,0.8,0.2,1
9,1574294353408,Iris-setosa,Iris-setosa,4,0.8,0.2,1
10,1574294353408,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
11,1574294353409,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
12,1574294353410,Iris-virginica,Iris-virginica,4,0.8,0.2,1
13,1574294353410,Iris-virginica,Iris-virginica,4,0.8,0.2,1
14,1574294353410,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
15,1574294353411,Iris-setosa,Iris-setosa,4,0.8,0.2,1
16,1574294353411,Iris-setosa,Iris-setosa,4,0.8,0.2,1
17,1574294353412,Iris-virginica,Iris-virginica,4,0.8,0.2,1
18,1574294353412,Iris-virginica,Iris-virginica,4,0.8,0.2,1
19,1574294353413,Iris-setosa,Iris-setosa,4,0.8,0.2,1
20,1574294353413,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
21,1574294353414,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
22,1574294353414,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
23,1574294353414,Iris-setosa,Iris-setosa,4,0.8,0.2,1
24,1574294353415,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
25,1574294353415,Iris-virginica,Iris-virginica,4,0.8,0.2,1
26,1574294353416,Iris-virginica,Iris-virginica,4,0.8,0.2,1
27,1574294353416,Iris-virginica,Iris-virginica,4,0.8,0.2,1
28,1574294353416,Iris-virginica,Iris-virginica,4,0.8,0.2,1
29,1574294353417,Iris-setosa,Iris-setosa,4,0.8,0.2,1
