testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574294718833,Iris-virginica,Iris-virginica,4,0.8,0.2,1
1,1574294718833,Iris-setosa,Iris-setosa,4,0.8,0.2,1
2,1574294718834,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
3,1574294718834,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
4,1574294718835,Iris-setosa,Iris-setosa,4,0.8,0.2,1
5,1574294718835,Iris-virginica,Iris-virginica,4,0.8,0.2,1
6,1574294718836,Iris-setosa,Iris-setosa,4,0.8,0.2,1
7,1574294718836,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
8,1574294718837,Iris-setosa,Iris-setosa,4,0.8,0.2,1
9,1574294718838,Iris-virginica,Iris-virginica,4,0.8,0.2,1
10,1574294718839,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
11,1574294718839,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
12,1574294718840,Iris-setosa,Iris-setosa,4,0.8,0.2,1
13,1574294718840,Iris-setosa,Iris-setosa,4,0.8,0.2,1
14,1574294718841,Iris-setosa,Iris-setosa,4,0.8,0.2,1
15,1574294718841,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
16,1574294718842,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
17,1574294718842,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
18,1574294718842,Iris-setosa,Iris-setosa,4,0.8,0.2,1
19,1574294718843,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
20,1574294718843,Iris-virginica,Iris-virginica,4,0.8,0.2,1
21,1574294718843,Iris-setosa,Iris-setosa,4,0.8,0.2,1
22,1574294718844,Iris-setosa,Iris-setosa,4,0.8,0.2,1
23,1574294718844,Iris-setosa,Iris-setosa,4,0.8,0.2,1
24,1574294718845,Iris-setosa,Iris-setosa,4,0.8,0.2,1
25,1574294718845,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
26,1574294718846,Iris-virginica,Iris-virginica,4,0.8,0.2,1
27,1574294718846,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
28,1574294718847,Iris-setosa,Iris-setosa,4,0.8,0.2,1
29,1574294718847,Iris-virginica,Iris-virginica,4,0.8,0.2,1
