testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574294719791,Iris-virginica,Iris-virginica,4,0.8,0.2,1
1,1574294719792,Iris-setosa,Iris-setosa,4,0.8,0.2,1
2,1574294719792,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
3,1574294719792,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
4,1574294719793,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
5,1574294719793,Iris-virginica,Iris-virginica,4,0.8,0.2,1
6,1574294719794,Iris-setosa,Iris-setosa,4,0.8,0.2,1
7,1574294719794,Iris-virginica,Iris-virginica,4,0.8,0.2,1
8,1574294719795,Iris-setosa,Iris-setosa,4,0.8,0.2,1
9,1574294719795,Iris-virginica,Iris-virginica,4,0.8,0.2,1
10,1574294719795,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
11,1574294719796,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
12,1574294719796,Iris-setosa,Iris-setosa,4,0.8,0.2,1
13,1574294719796,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
14,1574294719797,Iris-virginica,Iris-virginica,4,0.8,0.2,1
15,1574294719797,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
16,1574294719797,Iris-setosa,Iris-setosa,4,0.8,0.2,1
17,1574294719798,Iris-setosa,Iris-setosa,4,0.8,0.2,1
18,1574294719798,Iris-virginica,Iris-virginica,4,0.8,0.2,1
19,1574294719798,Iris-virginica,Iris-virginica,4,0.8,0.2,1
20,1574294719799,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
21,1574294719799,Iris-setosa,Iris-setosa,4,0.8,0.2,1
22,1574294719799,Iris-virginica,Iris-virginica,4,0.8,0.2,1
23,1574294719800,Iris-setosa,Iris-setosa,4,0.8,0.2,1
24,1574294719800,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
25,1574294719800,Iris-virginica,Iris-virginica,4,0.8,0.2,1
26,1574294719801,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
27,1574294719801,Iris-virginica,Iris-virginica,4,0.8,0.2,1
28,1574294719801,Iris-setosa,Iris-setosa,4,0.8,0.2,1
29,1574294719802,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
