testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574294720682,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
1,1574294720683,Iris-virginica,Iris-virginica,4,0.8,0.2,1
2,1574294720683,Iris-virginica,Iris-virginica,4,0.8,0.2,1
3,1574294720684,Iris-virginica,Iris-virginica,4,0.8,0.2,1
4,1574294720684,Iris-virginica,Iris-virginica,4,0.8,0.2,1
5,1574294720685,Iris-virginica,Iris-virginica,4,0.8,0.2,1
6,1574294720686,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
7,1574294720686,Iris-setosa,Iris-setosa,4,0.8,0.2,1
8,1574294720687,Iris-setosa,Iris-setosa,4,0.8,0.2,1
9,1574294720688,Iris-setosa,Iris-setosa,4,0.8,0.2,1
10,1574294720688,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
11,1574294720689,Iris-virginica,Iris-virginica,4,0.8,0.2,1
12,1574294720690,Iris-setosa,Iris-setosa,4,0.8,0.2,1
13,1574294720690,Iris-virginica,Iris-virginica,4,0.8,0.2,1
14,1574294720691,Iris-setosa,Iris-setosa,4,0.8,0.2,1
15,1574294720691,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
16,1574294720692,Iris-virginica,Iris-virginica,4,0.8,0.2,1
17,1574294720692,Iris-virginica,Iris-virginica,4,0.8,0.2,1
18,1574294720692,Iris-setosa,Iris-setosa,4,0.8,0.2,1
19,1574294720693,Iris-virginica,Iris-versicolor,4,0.8,0.2,0
20,1574294720693,Iris-virginica,Iris-virginica,4,0.8,0.2,1
21,1574294720693,Iris-setosa,Iris-setosa,4,0.8,0.2,1
22,1574294720694,Iris-virginica,Iris-virginica,4,0.8,0.2,1
23,1574294720694,Iris-setosa,Iris-setosa,4,0.8,0.2,1
24,1574294720695,Iris-setosa,Iris-setosa,4,0.8,0.2,1
25,1574294720695,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
26,1574294720695,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
27,1574294720696,Iris-setosa,Iris-setosa,4,0.8,0.2,1
28,1574294720696,Iris-virginica,Iris-virginica,4,0.8,0.2,1
29,1574294720697,Iris-virginica,Iris-virginica,4,0.8,0.2,1
