testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574294732822,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
1,1574294732822,Iris-virginica,Iris-virginica,4,0.8,0.2,1
2,1574294732823,Iris-virginica,Iris-virginica,4,0.8,0.2,1
3,1574294732823,Iris-setosa,Iris-setosa,4,0.8,0.2,1
4,1574294732824,Iris-virginica,Iris-virginica,4,0.8,0.2,1
5,1574294732824,Iris-setosa,Iris-setosa,4,0.8,0.2,1
6,1574294732825,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
7,1574294732825,Iris-virginica,Iris-virginica,4,0.8,0.2,1
8,1574294732825,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
9,1574294732826,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
10,1574294732826,Iris-versicolor,Iris-virginica,4,0.8,0.2,0
11,1574294732827,Iris-virginica,Iris-versicolor,4,0.8,0.2,0
12,1574294732828,Iris-setosa,Iris-setosa,4,0.8,0.2,1
13,1574294732828,Iris-setosa,Iris-setosa,4,0.8,0.2,1
14,1574294732829,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
15,1574294732829,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
16,1574294732830,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
17,1574294732830,Iris-virginica,Iris-virginica,4,0.8,0.2,1
18,1574294732831,Iris-virginica,Iris-virginica,4,0.8,0.2,1
19,1574294732831,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
20,1574294732831,Iris-virginica,Iris-virginica,4,0.8,0.2,1
21,1574294732832,Iris-setosa,Iris-setosa,4,0.8,0.2,1
22,1574294732832,Iris-setosa,Iris-setosa,4,0.8,0.2,1
23,1574294732832,Iris-virginica,Iris-virginica,4,0.8,0.2,1
24,1574294732833,Iris-virginica,Iris-virginica,4,0.8,0.2,1
25,1574294732833,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
26,1574294732833,Iris-setosa,Iris-setosa,4,0.8,0.2,1
27,1574294732834,Iris-setosa,Iris-setosa,4,0.8,0.2,1
28,1574294732834,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
29,1574294732835,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
