testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574294733727,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
1,1574294733728,Iris-setosa,Iris-setosa,4,0.8,0.2,1
2,1574294733728,Iris-setosa,Iris-setosa,4,0.8,0.2,1
3,1574294733729,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
4,1574294733729,Iris-setosa,Iris-setosa,4,0.8,0.2,1
5,1574294733730,Iris-virginica,Iris-virginica,4,0.8,0.2,1
6,1574294733730,Iris-virginica,Iris-virginica,4,0.8,0.2,1
7,1574294733731,Iris-virginica,Iris-virginica,4,0.8,0.2,1
8,1574294733731,Iris-setosa,Iris-setosa,4,0.8,0.2,1
9,1574294733732,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
10,1574294733732,Iris-setosa,Iris-setosa,4,0.8,0.2,1
11,1574294733733,Iris-setosa,Iris-setosa,4,0.8,0.2,1
12,1574294733733,Iris-setosa,Iris-setosa,4,0.8,0.2,1
13,1574294733733,Iris-virginica,Iris-virginica,4,0.8,0.2,1
14,1574294733734,Iris-virginica,Iris-virginica,4,0.8,0.2,1
15,1574294733734,Iris-virginica,Iris-virginica,4,0.8,0.2,1
16,1574294733734,Iris-virginica,Iris-virginica,4,0.8,0.2,1
17,1574294733735,Iris-virginica,Iris-versicolor,4,0.8,0.2,0
18,1574294733735,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
19,1574294733735,Iris-setosa,Iris-setosa,4,0.8,0.2,1
20,1574294733735,Iris-setosa,Iris-setosa,4,0.8,0.2,1
21,1574294733736,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
22,1574294733736,Iris-virginica,Iris-virginica,4,0.8,0.2,1
23,1574294733736,Iris-virginica,Iris-virginica,4,0.8,0.2,1
24,1574294733737,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
25,1574294733737,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
26,1574294733738,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
27,1574294733738,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
28,1574294733738,Iris-virginica,Iris-virginica,4,0.8,0.2,1
29,1574294733738,Iris-virginica,Iris-virginica,4,0.8,0.2,1
