testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574294730590,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
1,1574294730591,Iris-setosa,Iris-setosa,4,0.8,0.2,1
2,1574294730591,Iris-virginica,Iris-virginica,4,0.8,0.2,1
3,1574294730592,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
4,1574294730592,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
5,1574294730593,Iris-setosa,Iris-setosa,4,0.8,0.2,1
6,1574294730594,Iris-setosa,Iris-setosa,4,0.8,0.2,1
7,1574294730594,Iris-virginica,Iris-virginica,4,0.8,0.2,1
8,1574294730595,Iris-virginica,Iris-virginica,4,0.8,0.2,1
9,1574294730595,Iris-virginica,Iris-virginica,4,0.8,0.2,1
10,1574294730595,Iris-virginica,Iris-virginica,4,0.8,0.2,1
11,1574294730596,Iris-virginica,Iris-virginica,4,0.8,0.2,1
12,1574294730596,Iris-setosa,Iris-setosa,4,0.8,0.2,1
13,1574294730597,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
14,1574294730597,Iris-virginica,Iris-virginica,4,0.8,0.2,1
15,1574294730597,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
16,1574294730598,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
17,1574294730598,Iris-virginica,Iris-virginica,4,0.8,0.2,1
18,1574294730598,Iris-setosa,Iris-setosa,4,0.8,0.2,1
19,1574294730599,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
20,1574294730599,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
21,1574294730599,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
22,1574294730600,Iris-versicolor,Iris-virginica,4,0.8,0.2,0
23,1574294730600,Iris-virginica,Iris-virginica,4,0.8,0.2,1
24,1574294730600,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
25,1574294730601,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
26,1574294730601,Iris-setosa,Iris-setosa,4,0.8,0.2,1
27,1574294730601,Iris-setosa,Iris-setosa,4,0.8,0.2,1
28,1574294730602,Iris-versicolor,Iris-virginica,4,0.8,0.2,0
29,1574294730602,Iris-virginica,Iris-virginica,4,0.8,0.2,1
