testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574294731329,Iris-virginica,Iris-virginica,4,0.8,0.2,1
1,1574294731330,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
2,1574294731331,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
3,1574294731331,Iris-virginica,Iris-virginica,4,0.8,0.2,1
4,1574294731332,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
5,1574294731333,Iris-virginica,Iris-virginica,4,0.8,0.2,1
6,1574294731333,Iris-virginica,Iris-versicolor,4,0.8,0.2,0
7,1574294731334,Iris-setosa,Iris-setosa,4,0.8,0.2,1
8,1574294731334,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
9,1574294731335,Iris-setosa,Iris-setosa,4,0.8,0.2,1
10,1574294731335,Iris-setosa,Iris-setosa,4,0.8,0.2,1
11,1574294731336,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
12,1574294731336,Iris-virginica,Iris-virginica,4,0.8,0.2,1
13,1574294731337,Iris-setosa,Iris-setosa,4,0.8,0.2,1
14,1574294731337,Iris-setosa,Iris-setosa,4,0.8,0.2,1
15,1574294731337,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
16,1574294731338,Iris-setosa,Iris-setosa,4,0.8,0.2,1
17,1574294731338,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
18,1574294731338,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
19,1574294731339,Iris-virginica,Iris-virginica,4,0.8,0.2,1
20,1574294731339,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
21,1574294731339,Iris-virginica,Iris-virginica,4,0.8,0.2,1
22,1574294731340,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
23,1574294731340,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
24,1574294731340,Iris-setosa,Iris-setosa,4,0.8,0.2,1
25,1574294731341,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
26,1574294731341,Iris-setosa,Iris-setosa,4,0.8,0.2,1
27,1574294731341,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
28,1574294731342,Iris-virginica,Iris-virginica,4,0.8,0.2,1
29,1574294731342,Iris-versicolor,Iris-versicolor,4,0.8,0.2,1
