testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295203888,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
1,1574295203888,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
2,1574295203888,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
3,1574295203888,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
4,1574295203888,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
5,1574295203888,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
6,1574295203888,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
7,1574295203888,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
8,1574295203888,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
9,1574295203888,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
10,1574295203888,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
11,1574295203888,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
12,1574295203888,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
13,1574295203888,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
14,1574295203888,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
15,1574295203888,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
16,1574295203888,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
17,1574295203888,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
18,1574295203889,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
19,1574295203889,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
20,1574295203889,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
21,1574295203889,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
22,1574295203889,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
23,1574295203889,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
24,1574295203889,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
25,1574295203889,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
26,1574295203889,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
27,1574295203889,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
28,1574295203889,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
29,1574295203889,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
30,1574295203889,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
31,1574295203889,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
32,1574295203889,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
33,1574295203889,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
34,1574295203889,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
35,1574295203889,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
36,1574295203889,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
37,1574295203889,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
38,1574295203889,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
39,1574295203889,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
40,1574295203889,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
41,1574295203889,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
42,1574295203889,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
43,1574295203889,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
44,1574295203890,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
45,1574295203890,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
46,1574295203890,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
47,1574295203890,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
48,1574295203890,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
49,1574295203890,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
50,1574295203890,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
51,1574295203890,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
52,1574295203890,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
53,1574295203890,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
54,1574295203890,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
55,1574295203890,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
56,1574295203890,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
57,1574295203890,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
58,1574295203890,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
59,1574295203890,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
60,1574295203890,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
61,1574295203890,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
62,1574295203890,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
63,1574295203890,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
64,1574295203890,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
65,1574295203891,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
66,1574295203891,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
67,1574295203891,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
68,1574295203891,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
69,1574295203891,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
70,1574295203891,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
71,1574295203891,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
72,1574295203891,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
73,1574295203891,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
74,1574295203891,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
75,1574295203891,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
76,1574295203891,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
77,1574295203891,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
78,1574295203891,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
79,1574295203891,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
80,1574295203891,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
