testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295203894,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
1,1574295203894,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
2,1574295203894,Iris-setosa,Iris-setosa,10,0.1,0.9,1
3,1574295203894,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
4,1574295203894,Iris-setosa,Iris-versicolor,10,0.1,0.9,0
5,1574295203894,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
6,1574295203894,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
7,1574295203894,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
8,1574295203894,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
9,1574295203894,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
10,1574295203894,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
11,1574295203894,Iris-setosa,Iris-versicolor,10,0.1,0.9,0
12,1574295203894,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
13,1574295203895,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
14,1574295203895,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
15,1574295203895,Iris-setosa,Iris-setosa,10,0.1,0.9,1
16,1574295203895,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
17,1574295203895,Iris-setosa,Iris-versicolor,10,0.1,0.9,0
18,1574295203895,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
19,1574295203895,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
20,1574295203895,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
21,1574295203895,Iris-setosa,Iris-setosa,10,0.1,0.9,1
22,1574295203895,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
23,1574295203895,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
24,1574295203895,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
25,1574295203895,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
26,1574295203895,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
27,1574295203895,Iris-setosa,Iris-setosa,10,0.1,0.9,1
28,1574295203895,Iris-setosa,Iris-setosa,10,0.1,0.9,1
29,1574295203895,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
30,1574295203895,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
31,1574295203895,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
32,1574295203895,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
33,1574295203895,Iris-setosa,Iris-setosa,10,0.1,0.9,1
34,1574295203895,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
35,1574295203895,Iris-setosa,Iris-setosa,10,0.1,0.9,1
36,1574295203895,Iris-setosa,Iris-setosa,10,0.1,0.9,1
37,1574295203895,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
38,1574295203895,Iris-setosa,Iris-setosa,10,0.1,0.9,1
39,1574295203896,Iris-setosa,Iris-setosa,10,0.1,0.9,1
40,1574295203896,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
41,1574295203896,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
42,1574295203896,Iris-setosa,Iris-setosa,10,0.1,0.9,1
43,1574295203896,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
44,1574295203896,Iris-setosa,Iris-setosa,10,0.1,0.9,1
