testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295203907,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
1,1574295203907,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
2,1574295203907,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
3,1574295203907,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
4,1574295203907,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
5,1574295203907,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
6,1574295203907,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
7,1574295203907,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
8,1574295203908,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
9,1574295203908,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
10,1574295203908,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
11,1574295203908,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
12,1574295203908,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
13,1574295203908,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
14,1574295203908,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
15,1574295203908,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
16,1574295203908,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
17,1574295203908,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
18,1574295203908,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
19,1574295203908,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
20,1574295203908,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
21,1574295203908,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
22,1574295203908,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
23,1574295203908,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
24,1574295203908,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
25,1574295203908,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
26,1574295203908,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
27,1574295203908,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
28,1574295203908,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
29,1574295203908,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
30,1574295203908,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
31,1574295203908,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
32,1574295203909,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
33,1574295203909,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
34,1574295203909,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
35,1574295203909,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
36,1574295203909,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
37,1574295203909,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
38,1574295203909,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
39,1574295203909,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
40,1574295203909,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
41,1574295203909,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
42,1574295203909,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
43,1574295203909,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
44,1574295203909,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
45,1574295203909,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
46,1574295203909,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
47,1574295203909,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
48,1574295203909,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
49,1574295203909,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
50,1574295203909,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
51,1574295203909,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
52,1574295203909,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
53,1574295203909,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
54,1574295203909,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
55,1574295203909,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
56,1574295203909,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
57,1574295203909,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
58,1574295203909,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
59,1574295203910,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
60,1574295203910,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
61,1574295203910,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
62,1574295203910,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
63,1574295203910,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
64,1574295203910,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
65,1574295203910,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
66,1574295203910,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
67,1574295203910,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
68,1574295203910,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
69,1574295203910,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
70,1574295203910,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
