testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295373937,Iris-virginica,Iris-versicolor,3,0.1,0.9,0
1,1574295373938,Iris-versicolor,Iris-versicolor,3,0.1,0.9,1
2,1574295373938,Iris-virginica,Iris-virginica,3,0.1,0.9,1
3,1574295373938,Iris-setosa,Iris-setosa,3,0.1,0.9,1
4,1574295373939,Iris-virginica,Iris-virginica,3,0.1,0.9,1
5,1574295373939,Iris-versicolor,Iris-versicolor,3,0.1,0.9,1
6,1574295373939,Iris-versicolor,Iris-versicolor,3,0.1,0.9,1
7,1574295373939,Iris-versicolor,Iris-versicolor,3,0.1,0.9,1
8,1574295373939,Iris-virginica,Iris-virginica,3,0.1,0.9,1
9,1574295373940,Iris-versicolor,Iris-versicolor,3,0.1,0.9,1
10,1574295373940,Iris-setosa,Iris-setosa,3,0.1,0.9,1
11,1574295373940,Iris-virginica,Iris-virginica,3,0.1,0.9,1
12,1574295373940,Iris-versicolor,Iris-versicolor,3,0.1,0.9,1
13,1574295373941,Iris-setosa,Iris-setosa,3,0.1,0.9,1
14,1574295373941,Iris-versicolor,Iris-versicolor,3,0.1,0.9,1
15,1574295373941,Iris-versicolor,Iris-versicolor,3,0.1,0.9,1
16,1574295373941,Iris-setosa,Iris-setosa,3,0.1,0.9,1
17,1574295373942,Iris-virginica,Iris-virginica,3,0.1,0.9,1
18,1574295373942,Iris-setosa,Iris-setosa,3,0.1,0.9,1
19,1574295373942,Iris-setosa,Iris-setosa,3,0.1,0.9,1
20,1574295373942,Iris-virginica,Iris-virginica,3,0.1,0.9,1
21,1574295373942,Iris-setosa,Iris-setosa,3,0.1,0.9,1
22,1574295373943,Iris-setosa,Iris-setosa,3,0.1,0.9,1
23,1574295373943,Iris-setosa,Iris-setosa,3,0.1,0.9,1
24,1574295373943,Iris-virginica,Iris-virginica,3,0.1,0.9,1
25,1574295373943,Iris-setosa,Iris-setosa,3,0.1,0.9,1
26,1574295373943,Iris-virginica,Iris-virginica,3,0.1,0.9,1
27,1574295373944,Iris-virginica,Iris-virginica,3,0.1,0.9,1
28,1574295373944,Iris-versicolor,Iris-versicolor,3,0.1,0.9,1
29,1574295373944,Iris-versicolor,Iris-versicolor,3,0.1,0.9,1
30,1574295373944,Iris-setosa,Iris-setosa,3,0.1,0.9,1
31,1574295373944,Iris-versicolor,Iris-versicolor,3,0.1,0.9,1
32,1574295373944,Iris-virginica,Iris-virginica,3,0.1,0.9,1
33,1574295373944,Iris-virginica,Iris-virginica,3,0.1,0.9,1
34,1574295373945,Iris-virginica,Iris-virginica,3,0.1,0.9,1
35,1574295373945,Iris-virginica,Iris-virginica,3,0.1,0.9,1
36,1574295373945,Iris-setosa,Iris-setosa,3,0.1,0.9,1
37,1574295373945,Iris-virginica,Iris-virginica,3,0.1,0.9,1
38,1574295373945,Iris-virginica,Iris-virginica,3,0.1,0.9,1
39,1574295373945,Iris-virginica,Iris-virginica,3,0.1,0.9,1
40,1574295373945,Iris-setosa,Iris-setosa,3,0.1,0.9,1
41,1574295373946,Iris-virginica,Iris-virginica,3,0.1,0.9,1
42,1574295373946,Iris-setosa,Iris-setosa,3,0.1,0.9,1
43,1574295373946,Iris-versicolor,Iris-versicolor,3,0.1,0.9,1
44,1574295373946,Iris-virginica,Iris-versicolor,3,0.1,0.9,0
45,1574295373946,Iris-virginica,Iris-virginica,3,0.1,0.9,1
46,1574295373946,Iris-setosa,Iris-setosa,3,0.1,0.9,1
47,1574295373947,Iris-versicolor,Iris-versicolor,3,0.1,0.9,1
48,1574295373947,Iris-setosa,Iris-setosa,3,0.1,0.9,1
49,1574295373947,Iris-versicolor,Iris-versicolor,3,0.1,0.9,1
50,1574295373947,Iris-setosa,Iris-setosa,3,0.1,0.9,1
51,1574295373947,Iris-setosa,Iris-setosa,3,0.1,0.9,1
52,1574295373948,Iris-setosa,Iris-setosa,3,0.1,0.9,1
53,1574295373948,Iris-virginica,Iris-virginica,3,0.1,0.9,1
