testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295373963,Iris-virginica,Iris-virginica,4,0.1,0.9,1
1,1574295373963,Iris-setosa,Iris-setosa,4,0.1,0.9,1
2,1574295373963,Iris-virginica,Iris-virginica,4,0.1,0.9,1
3,1574295373963,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
4,1574295373963,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
5,1574295373963,Iris-virginica,Iris-virginica,4,0.1,0.9,1
6,1574295373963,Iris-virginica,Iris-virginica,4,0.1,0.9,1
7,1574295373963,Iris-virginica,Iris-virginica,4,0.1,0.9,1
8,1574295373964,Iris-setosa,Iris-setosa,4,0.1,0.9,1
9,1574295373964,Iris-setosa,Iris-setosa,4,0.1,0.9,1
10,1574295373964,Iris-virginica,Iris-virginica,4,0.1,0.9,1
11,1574295373964,Iris-setosa,Iris-setosa,4,0.1,0.9,1
12,1574295373964,Iris-virginica,Iris-virginica,4,0.1,0.9,1
13,1574295373964,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
14,1574295373964,Iris-virginica,Iris-virginica,4,0.1,0.9,1
15,1574295373964,Iris-setosa,Iris-setosa,4,0.1,0.9,1
16,1574295373964,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
17,1574295373964,Iris-virginica,Iris-virginica,4,0.1,0.9,1
18,1574295373964,Iris-setosa,Iris-setosa,4,0.1,0.9,1
19,1574295373965,Iris-setosa,Iris-setosa,4,0.1,0.9,1
20,1574295373965,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
21,1574295373965,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
22,1574295373965,Iris-virginica,Iris-virginica,4,0.1,0.9,1
23,1574295373965,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
24,1574295373965,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
25,1574295373965,Iris-virginica,Iris-virginica,4,0.1,0.9,1
26,1574295373966,Iris-virginica,Iris-virginica,4,0.1,0.9,1
27,1574295373966,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
28,1574295373966,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
29,1574295373966,Iris-setosa,Iris-setosa,4,0.1,0.9,1
30,1574295373966,Iris-setosa,Iris-setosa,4,0.1,0.9,1
31,1574295373966,Iris-setosa,Iris-setosa,4,0.1,0.9,1
32,1574295373966,Iris-virginica,Iris-virginica,4,0.1,0.9,1
33,1574295373966,Iris-virginica,Iris-virginica,4,0.1,0.9,1
34,1574295373966,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
35,1574295373967,Iris-virginica,Iris-virginica,4,0.1,0.9,1
36,1574295373967,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
37,1574295373967,Iris-versicolor,Iris-virginica,4,0.1,0.9,0
38,1574295373967,Iris-setosa,Iris-setosa,4,0.1,0.9,1
39,1574295373967,Iris-virginica,Iris-virginica,4,0.1,0.9,1
40,1574295373967,Iris-virginica,Iris-virginica,4,0.1,0.9,1
41,1574295373967,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
42,1574295373967,Iris-setosa,Iris-setosa,4,0.1,0.9,1
43,1574295373967,Iris-setosa,Iris-setosa,4,0.1,0.9,1
44,1574295373967,Iris-setosa,Iris-setosa,4,0.1,0.9,1
45,1574295373967,Iris-virginica,Iris-versicolor,4,0.1,0.9,0
46,1574295373968,Iris-virginica,Iris-virginica,4,0.1,0.9,1
47,1574295373968,Iris-virginica,Iris-versicolor,4,0.1,0.9,0
48,1574295373968,Iris-setosa,Iris-setosa,4,0.1,0.9,1
49,1574295373968,Iris-versicolor,Iris-virginica,4,0.1,0.9,0
50,1574295373970,Iris-virginica,Iris-virginica,4,0.1,0.9,1
51,1574295373970,Iris-virginica,Iris-virginica,4,0.1,0.9,1
52,1574295373970,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
53,1574295373970,Iris-setosa,Iris-setosa,4,0.1,0.9,1
54,1574295373972,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
55,1574295373972,Iris-setosa,Iris-setosa,4,0.1,0.9,1
56,1574295373972,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
57,1574295373972,Iris-virginica,Iris-virginica,4,0.1,0.9,1
58,1574295373972,Iris-setosa,Iris-setosa,4,0.1,0.9,1
59,1574295373972,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
60,1574295373972,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
61,1574295373972,Iris-setosa,Iris-setosa,4,0.1,0.9,1
62,1574295373972,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
63,1574295373972,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
64,1574295373972,Iris-virginica,Iris-virginica,4,0.1,0.9,1
65,1574295373972,Iris-setosa,Iris-setosa,4,0.1,0.9,1
66,1574295373973,Iris-virginica,Iris-virginica,4,0.1,0.9,1
67,1574295373973,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
68,1574295373973,Iris-setosa,Iris-setosa,4,0.1,0.9,1
69,1574295373973,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
70,1574295373973,Iris-versicolor,Iris-virginica,4,0.1,0.9,0
71,1574295373973,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
72,1574295373973,Iris-setosa,Iris-setosa,4,0.1,0.9,1
73,1574295373973,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
74,1574295373973,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
75,1574295373973,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
76,1574295373973,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
77,1574295373973,Iris-setosa,Iris-setosa,4,0.1,0.9,1
78,1574295373974,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
79,1574295373974,Iris-virginica,Iris-virginica,4,0.1,0.9,1
80,1574295373974,Iris-setosa,Iris-setosa,4,0.1,0.9,1
81,1574295373974,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
82,1574295373974,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
83,1574295373974,Iris-virginica,Iris-virginica,4,0.1,0.9,1
84,1574295373974,Iris-setosa,Iris-setosa,4,0.1,0.9,1
85,1574295373974,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
