testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374010,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
1,1574295374010,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
2,1574295374010,Iris-virginica,Iris-virginica,8,0.1,0.9,1
3,1574295374010,Iris-setosa,Iris-setosa,8,0.1,0.9,1
4,1574295374010,Iris-virginica,Iris-virginica,8,0.1,0.9,1
5,1574295374010,Iris-setosa,Iris-setosa,8,0.1,0.9,1
6,1574295374010,Iris-virginica,Iris-virginica,8,0.1,0.9,1
7,1574295374010,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
8,1574295374010,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
9,1574295374010,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
10,1574295374010,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
11,1574295374010,Iris-setosa,Iris-setosa,8,0.1,0.9,1
12,1574295374010,Iris-setosa,Iris-setosa,8,0.1,0.9,1
13,1574295374010,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
14,1574295374010,Iris-virginica,Iris-virginica,8,0.1,0.9,1
15,1574295374010,Iris-setosa,Iris-setosa,8,0.1,0.9,1
16,1574295374011,Iris-virginica,Iris-virginica,8,0.1,0.9,1
17,1574295374011,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
18,1574295374011,Iris-setosa,Iris-setosa,8,0.1,0.9,1
19,1574295374011,Iris-virginica,Iris-virginica,8,0.1,0.9,1
20,1574295374011,Iris-virginica,Iris-virginica,8,0.1,0.9,1
21,1574295374011,Iris-setosa,Iris-setosa,8,0.1,0.9,1
22,1574295374011,Iris-virginica,Iris-virginica,8,0.1,0.9,1
23,1574295374011,Iris-virginica,Iris-virginica,8,0.1,0.9,1
24,1574295374011,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
25,1574295374011,Iris-virginica,Iris-virginica,8,0.1,0.9,1
26,1574295374011,Iris-virginica,Iris-virginica,8,0.1,0.9,1
27,1574295374011,Iris-setosa,Iris-setosa,8,0.1,0.9,1
28,1574295374011,Iris-setosa,Iris-setosa,8,0.1,0.9,1
29,1574295374011,Iris-virginica,Iris-virginica,8,0.1,0.9,1
30,1574295374011,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
31,1574295374011,Iris-setosa,Iris-setosa,8,0.1,0.9,1
32,1574295374011,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
33,1574295374011,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
34,1574295374011,Iris-setosa,Iris-setosa,8,0.1,0.9,1
35,1574295374011,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
36,1574295374012,Iris-setosa,Iris-setosa,8,0.1,0.9,1
37,1574295374012,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
38,1574295374012,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
39,1574295374012,Iris-virginica,Iris-virginica,8,0.1,0.9,1
40,1574295374012,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
41,1574295374012,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
42,1574295374012,Iris-virginica,Iris-virginica,8,0.1,0.9,1
43,1574295374012,Iris-setosa,Iris-setosa,8,0.1,0.9,1
44,1574295374012,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
