testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374035,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
1,1574295374036,Iris-virginica,Iris-virginica,12,0.1,0.9,1
2,1574295374036,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
3,1574295374036,Iris-virginica,Iris-virginica,12,0.1,0.9,1
4,1574295374036,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
5,1574295374036,Iris-setosa,Iris-setosa,12,0.1,0.9,1
6,1574295374036,Iris-setosa,Iris-setosa,12,0.1,0.9,1
7,1574295374036,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
8,1574295374036,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
9,1574295374036,Iris-virginica,Iris-virginica,12,0.1,0.9,1
10,1574295374036,Iris-virginica,Iris-virginica,12,0.1,0.9,1
11,1574295374036,Iris-virginica,Iris-virginica,12,0.1,0.9,1
12,1574295374036,Iris-virginica,Iris-virginica,12,0.1,0.9,1
13,1574295374036,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
14,1574295374036,Iris-setosa,Iris-setosa,12,0.1,0.9,1
15,1574295374036,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
16,1574295374036,Iris-setosa,Iris-setosa,12,0.1,0.9,1
17,1574295374036,Iris-virginica,Iris-virginica,12,0.1,0.9,1
18,1574295374036,Iris-setosa,Iris-setosa,12,0.1,0.9,1
19,1574295374036,Iris-setosa,Iris-setosa,12,0.1,0.9,1
20,1574295374036,Iris-virginica,Iris-virginica,12,0.1,0.9,1
21,1574295374036,Iris-virginica,Iris-virginica,12,0.1,0.9,1
22,1574295374036,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
23,1574295374036,Iris-setosa,Iris-setosa,12,0.1,0.9,1
24,1574295374036,Iris-virginica,Iris-virginica,12,0.1,0.9,1
25,1574295374036,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
26,1574295374036,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
27,1574295374036,Iris-virginica,Iris-virginica,12,0.1,0.9,1
28,1574295374036,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
29,1574295374036,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
30,1574295374037,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
31,1574295374037,Iris-virginica,Iris-virginica,12,0.1,0.9,1
32,1574295374037,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
33,1574295374037,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
34,1574295374037,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
35,1574295374037,Iris-setosa,Iris-setosa,12,0.1,0.9,1
36,1574295374037,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
37,1574295374037,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
38,1574295374037,Iris-virginica,Iris-virginica,12,0.1,0.9,1
39,1574295374037,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
40,1574295374037,Iris-setosa,Iris-setosa,12,0.1,0.9,1
41,1574295374037,Iris-virginica,Iris-virginica,12,0.1,0.9,1
42,1574295374037,Iris-setosa,Iris-setosa,12,0.1,0.9,1
43,1574295374037,Iris-virginica,Iris-virginica,12,0.1,0.9,1
44,1574295374037,Iris-virginica,Iris-virginica,12,0.1,0.9,1
45,1574295374037,Iris-setosa,Iris-setosa,12,0.1,0.9,1
46,1574295374037,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
47,1574295374037,Iris-setosa,Iris-setosa,12,0.1,0.9,1
48,1574295374037,Iris-setosa,Iris-setosa,12,0.1,0.9,1
49,1574295374037,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
50,1574295374037,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
51,1574295374037,Iris-virginica,Iris-virginica,12,0.1,0.9,1
52,1574295374038,Iris-setosa,Iris-setosa,12,0.1,0.9,1
53,1574295374038,Iris-setosa,Iris-versicolor,12,0.1,0.9,0
54,1574295374038,Iris-setosa,Iris-setosa,12,0.1,0.9,1
55,1574295374038,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
56,1574295374038,Iris-virginica,Iris-versicolor,12,0.1,0.9,0
57,1574295374038,Iris-virginica,Iris-virginica,12,0.1,0.9,1
58,1574295374038,Iris-setosa,Iris-setosa,12,0.1,0.9,1
59,1574295374038,Iris-virginica,Iris-virginica,12,0.1,0.9,1
60,1574295374038,Iris-virginica,Iris-virginica,12,0.1,0.9,1
