testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374073,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
1,1574295374073,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
2,1574295374073,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
3,1574295374073,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
4,1574295374073,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
5,1574295374073,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
6,1574295374073,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
7,1574295374073,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
8,1574295374073,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
9,1574295374073,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
10,1574295374073,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
11,1574295374073,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
12,1574295374073,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
13,1574295374073,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
14,1574295374073,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
15,1574295374073,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
16,1574295374073,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
17,1574295374073,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
18,1574295374073,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
19,1574295374073,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
20,1574295374073,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
21,1574295374073,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
22,1574295374073,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
23,1574295374073,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
24,1574295374073,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
25,1574295374073,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
26,1574295374073,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
27,1574295374073,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
28,1574295374073,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
29,1574295374073,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
30,1574295374073,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
31,1574295374073,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
32,1574295374073,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
33,1574295374073,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
34,1574295374073,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
35,1574295374073,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
36,1574295374073,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
37,1574295374073,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
38,1574295374073,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
39,1574295374073,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
40,1574295374073,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
41,1574295374073,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
42,1574295374073,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
43,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
44,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
45,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
46,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
47,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
48,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
49,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
50,1574295374074,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
51,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
52,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
53,1574295374074,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
54,1574295374074,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
55,1574295374074,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
56,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
57,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
58,1574295374074,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
59,1574295374074,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
60,1574295374074,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
61,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
62,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
63,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
64,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
65,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
66,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
67,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
68,1574295374074,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
69,1574295374074,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
70,1574295374074,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
71,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
72,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
73,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
74,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
75,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
76,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
77,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
78,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
79,1574295374074,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
80,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
81,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
82,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
83,1574295374074,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
84,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
85,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
86,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
87,1574295374074,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
88,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
89,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
90,1574295374074,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
91,1574295374074,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
92,1574295374074,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
93,1574295374075,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
94,1574295374075,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
95,1574295374075,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
96,1574295374075,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
97,1574295374075,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
98,1574295374075,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
99,1574295374075,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
100,1574295374075,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
101,1574295374075,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
102,1574295374075,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
103,1574295374075,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
104,1574295374075,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
105,1574295374075,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
106,1574295374075,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
107,1574295374075,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
108,1574295374075,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
109,1574295374075,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
110,1574295374075,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
111,1574295374075,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
112,1574295374075,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
113,1574295374075,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
114,1574295374075,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
115,1574295374075,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
116,1574295374075,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
117,1574295374075,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
118,1574295374075,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
119,1574295374075,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
120,1574295374075,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
121,1574295374075,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
122,1574295374075,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
123,1574295374075,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
124,1574295374075,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
125,1574295374075,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
126,1574295374075,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
127,1574295374075,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
128,1574295374075,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
129,1574295374075,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
130,1574295374075,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
131,1574295374075,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
132,1574295374075,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
133,1574295374076,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
134,1574295374076,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
