testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374110,Iris-virginica,Iris-virginica,6,0.1,0.9,1
1,1574295374110,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
2,1574295374110,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
3,1574295374110,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
4,1574295374110,Iris-versicolor,Iris-virginica,6,0.1,0.9,0
5,1574295374110,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
6,1574295374110,Iris-virginica,Iris-virginica,6,0.1,0.9,1
7,1574295374110,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
8,1574295374110,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
9,1574295374110,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
10,1574295374110,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
11,1574295374111,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
12,1574295374111,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
13,1574295374111,Iris-virginica,Iris-virginica,6,0.1,0.9,1
14,1574295374111,Iris-virginica,Iris-virginica,6,0.1,0.9,1
15,1574295374111,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
16,1574295374111,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
17,1574295374111,Iris-virginica,Iris-virginica,6,0.1,0.9,1
18,1574295374111,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
19,1574295374114,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
20,1574295374115,Iris-virginica,Iris-virginica,6,0.1,0.9,1
21,1574295374115,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
22,1574295374115,Iris-versicolor,Iris-virginica,6,0.1,0.9,0
23,1574295374115,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
24,1574295374115,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
25,1574295374115,Iris-virginica,Iris-virginica,6,0.1,0.9,1
26,1574295374115,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
27,1574295374115,Iris-virginica,Iris-virginica,6,0.1,0.9,1
28,1574295374115,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
29,1574295374115,Iris-virginica,Iris-virginica,6,0.1,0.9,1
30,1574295374115,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
31,1574295374115,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
32,1574295374115,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
33,1574295374115,Iris-virginica,Iris-virginica,6,0.1,0.9,1
34,1574295374115,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
35,1574295374115,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
36,1574295374115,Iris-virginica,Iris-virginica,6,0.1,0.9,1
37,1574295374115,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
38,1574295374115,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
39,1574295374115,Iris-versicolor,Iris-virginica,6,0.1,0.9,0
40,1574295374115,Iris-versicolor,Iris-virginica,6,0.1,0.9,0
41,1574295374115,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
42,1574295374115,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
43,1574295374115,Iris-virginica,Iris-virginica,6,0.1,0.9,1
44,1574295374115,Iris-versicolor,Iris-virginica,6,0.1,0.9,0
45,1574295374115,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
46,1574295374115,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
47,1574295374115,Iris-virginica,Iris-virginica,6,0.1,0.9,1
48,1574295374115,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
49,1574295374115,Iris-virginica,Iris-virginica,6,0.1,0.9,1
50,1574295374115,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
51,1574295374115,Iris-versicolor,Iris-virginica,6,0.1,0.9,0
52,1574295374115,Iris-virginica,Iris-virginica,6,0.1,0.9,1
53,1574295374115,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
54,1574295374115,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
55,1574295374115,Iris-virginica,Iris-virginica,6,0.1,0.9,1
56,1574295374115,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
57,1574295374116,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
58,1574295374116,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
59,1574295374116,Iris-versicolor,Iris-setosa,6,0.1,0.9,0
60,1574295374116,Iris-versicolor,Iris-versicolor,6,0.1,0.9,1
61,1574295374116,Iris-versicolor,Iris-virginica,6,0.1,0.9,0
