testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374139,Iris-virginica,Iris-virginica,10,0.1,0.9,1
1,1574295374139,Iris-virginica,Iris-virginica,10,0.1,0.9,1
2,1574295374139,Iris-virginica,Iris-virginica,10,0.1,0.9,1
3,1574295374139,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
4,1574295374139,Iris-virginica,Iris-virginica,10,0.1,0.9,1
5,1574295374139,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
6,1574295374139,Iris-virginica,Iris-virginica,10,0.1,0.9,1
7,1574295374139,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
8,1574295374139,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
9,1574295374139,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
10,1574295374139,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
11,1574295374139,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
12,1574295374139,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
13,1574295374139,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
14,1574295374140,Iris-virginica,Iris-virginica,10,0.1,0.9,1
15,1574295374140,Iris-virginica,Iris-virginica,10,0.1,0.9,1
16,1574295374140,Iris-virginica,Iris-virginica,10,0.1,0.9,1
17,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
18,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
19,1574295374140,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
20,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
21,1574295374140,Iris-virginica,Iris-virginica,10,0.1,0.9,1
22,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
23,1574295374140,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
24,1574295374140,Iris-virginica,Iris-virginica,10,0.1,0.9,1
25,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
26,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
27,1574295374140,Iris-virginica,Iris-virginica,10,0.1,0.9,1
28,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
29,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
30,1574295374140,Iris-virginica,Iris-virginica,10,0.1,0.9,1
31,1574295374140,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
32,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
33,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
34,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
35,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
36,1574295374140,Iris-virginica,Iris-virginica,10,0.1,0.9,1
37,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
38,1574295374140,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
39,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
40,1574295374140,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
41,1574295374140,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
42,1574295374140,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
43,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
44,1574295374140,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
45,1574295374140,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
46,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
47,1574295374140,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
48,1574295374140,Iris-virginica,Iris-virginica,10,0.1,0.9,1
49,1574295374140,Iris-virginica,Iris-virginica,10,0.1,0.9,1
50,1574295374141,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
51,1574295374141,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
52,1574295374141,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
53,1574295374141,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
54,1574295374141,Iris-virginica,Iris-virginica,10,0.1,0.9,1
55,1574295374141,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
56,1574295374141,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
57,1574295374141,Iris-virginica,Iris-virginica,10,0.1,0.9,1
58,1574295374141,Iris-virginica,Iris-virginica,10,0.1,0.9,1
59,1574295374141,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
60,1574295374141,Iris-virginica,Iris-virginica,10,0.1,0.9,1
61,1574295374141,Iris-virginica,Iris-virginica,10,0.1,0.9,1
62,1574295374141,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
63,1574295374141,Iris-virginica,Iris-virginica,10,0.1,0.9,1
64,1574295374141,Iris-virginica,Iris-virginica,10,0.1,0.9,1
65,1574295374141,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
66,1574295374141,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
67,1574295374141,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
68,1574295374141,Iris-virginica,Iris-virginica,10,0.1,0.9,1
69,1574295374141,Iris-virginica,Iris-virginica,10,0.1,0.9,1
70,1574295374141,Iris-virginica,Iris-virginica,10,0.1,0.9,1
71,1574295374141,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
72,1574295374141,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
73,1574295374141,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
74,1574295374141,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
75,1574295374141,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
76,1574295374141,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
77,1574295374141,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
78,1574295374141,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
79,1574295374141,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
80,1574295374141,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
81,1574295374141,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
82,1574295374141,Iris-virginica,Iris-virginica,10,0.1,0.9,1
83,1574295374141,Iris-virginica,Iris-virginica,10,0.1,0.9,1
84,1574295374141,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
85,1574295374141,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
86,1574295374142,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
87,1574295374142,Iris-virginica,Iris-virginica,10,0.1,0.9,1
88,1574295374142,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
89,1574295374142,Iris-virginica,Iris-virginica,10,0.1,0.9,1
90,1574295374142,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
91,1574295374142,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
92,1574295374142,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
93,1574295374142,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
94,1574295374142,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
95,1574295374142,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
96,1574295374142,Iris-virginica,Iris-virginica,10,0.1,0.9,1
97,1574295374142,Iris-virginica,Iris-virginica,10,0.1,0.9,1
98,1574295374142,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
99,1574295374142,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
100,1574295374142,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
101,1574295374142,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
102,1574295374142,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
103,1574295374142,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
104,1574295374142,Iris-virginica,Iris-virginica,10,0.1,0.9,1
105,1574295374142,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
106,1574295374142,Iris-virginica,Iris-virginica,10,0.1,0.9,1
107,1574295374142,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
108,1574295374142,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
109,1574295374142,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
110,1574295374142,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
111,1574295374142,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
112,1574295374142,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
113,1574295374142,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
114,1574295374142,Iris-virginica,Iris-virginica,10,0.1,0.9,1
115,1574295374142,Iris-virginica,Iris-virginica,10,0.1,0.9,1
116,1574295374142,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
117,1574295374142,Iris-virginica,Iris-virginica,10,0.1,0.9,1
118,1574295374142,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
119,1574295374142,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
120,1574295374142,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
121,1574295374142,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
122,1574295374142,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
123,1574295374142,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
124,1574295374142,Iris-virginica,Iris-virginica,10,0.1,0.9,1
125,1574295374143,Iris-virginica,Iris-virginica,10,0.1,0.9,1
126,1574295374143,Iris-virginica,Iris-virginica,10,0.1,0.9,1
127,1574295374143,Iris-virginica,Iris-virginica,10,0.1,0.9,1
128,1574295374143,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
129,1574295374143,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
130,1574295374143,Iris-virginica,Iris-virginica,10,0.1,0.9,1
131,1574295374143,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
132,1574295374143,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
133,1574295374143,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
134,1574295374143,Iris-virginica,Iris-versicolor,10,0.1,0.9,0
