testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374150,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
1,1574295374150,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
2,1574295374150,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
3,1574295374150,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
4,1574295374150,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
5,1574295374150,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
6,1574295374150,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
7,1574295374150,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
8,1574295374150,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
9,1574295374150,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
10,1574295374150,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
11,1574295374150,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
12,1574295374150,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
13,1574295374150,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
14,1574295374150,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
15,1574295374150,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
16,1574295374150,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
17,1574295374150,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
18,1574295374150,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
19,1574295374150,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
20,1574295374150,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
21,1574295374150,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
22,1574295374150,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
23,1574295374150,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
24,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
25,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
26,1574295374151,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
27,1574295374151,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
28,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
29,1574295374151,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
30,1574295374151,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
31,1574295374151,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
32,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
33,1574295374151,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
34,1574295374151,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
35,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
36,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
37,1574295374151,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
38,1574295374151,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
39,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
40,1574295374151,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
41,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
42,1574295374151,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
43,1574295374151,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
44,1574295374151,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
45,1574295374151,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
46,1574295374151,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
47,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
48,1574295374151,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
49,1574295374151,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
50,1574295374151,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
51,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
52,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
53,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
54,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
55,1574295374151,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
56,1574295374151,Iris-versicolor,Iris-setosa,12,0.1,0.9,0
57,1574295374151,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
58,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
59,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
60,1574295374151,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
