testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374185,Iris-virginica,Iris-virginica,8,0.1,0.9,1
1,1574295374185,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
2,1574295374185,Iris-setosa,Iris-setosa,8,0.1,0.9,1
3,1574295374185,Iris-virginica,Iris-virginica,8,0.1,0.9,1
4,1574295374185,Iris-virginica,Iris-virginica,8,0.1,0.9,1
5,1574295374185,Iris-setosa,Iris-setosa,8,0.1,0.9,1
6,1574295374185,Iris-virginica,Iris-virginica,8,0.1,0.9,1
7,1574295374185,Iris-virginica,Iris-virginica,8,0.1,0.9,1
8,1574295374185,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
9,1574295374185,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
10,1574295374185,Iris-setosa,Iris-setosa,8,0.1,0.9,1
11,1574295374185,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
12,1574295374185,Iris-setosa,Iris-setosa,8,0.1,0.9,1
13,1574295374185,Iris-setosa,Iris-setosa,8,0.1,0.9,1
14,1574295374185,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
15,1574295374185,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
16,1574295374185,Iris-setosa,Iris-versicolor,8,0.1,0.9,0
17,1574295374185,Iris-virginica,Iris-virginica,8,0.1,0.9,1
18,1574295374185,Iris-virginica,Iris-virginica,8,0.1,0.9,1
19,1574295374185,Iris-setosa,Iris-setosa,8,0.1,0.9,1
20,1574295374185,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
21,1574295374185,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
22,1574295374185,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
23,1574295374185,Iris-virginica,Iris-virginica,8,0.1,0.9,1
24,1574295374185,Iris-setosa,Iris-setosa,8,0.1,0.9,1
25,1574295374185,Iris-setosa,Iris-setosa,8,0.1,0.9,1
26,1574295374185,Iris-virginica,Iris-virginica,8,0.1,0.9,1
27,1574295374186,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
28,1574295374186,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
29,1574295374186,Iris-virginica,Iris-virginica,8,0.1,0.9,1
30,1574295374186,Iris-setosa,Iris-setosa,8,0.1,0.9,1
31,1574295374186,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
32,1574295374186,Iris-virginica,Iris-virginica,8,0.1,0.9,1
33,1574295374186,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
34,1574295374186,Iris-virginica,Iris-virginica,8,0.1,0.9,1
35,1574295374186,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
36,1574295374186,Iris-virginica,Iris-virginica,8,0.1,0.9,1
37,1574295374186,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
38,1574295374186,Iris-setosa,Iris-setosa,8,0.1,0.9,1
39,1574295374186,Iris-virginica,Iris-virginica,8,0.1,0.9,1
40,1574295374186,Iris-setosa,Iris-versicolor,8,0.1,0.9,0
41,1574295374186,Iris-setosa,Iris-versicolor,8,0.1,0.9,0
42,1574295374186,Iris-virginica,Iris-virginica,8,0.1,0.9,1
43,1574295374186,Iris-virginica,Iris-virginica,8,0.1,0.9,1
44,1574295374186,Iris-virginica,Iris-virginica,8,0.1,0.9,1
45,1574295374186,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
46,1574295374186,Iris-setosa,Iris-setosa,8,0.1,0.9,1
47,1574295374186,Iris-virginica,Iris-virginica,8,0.1,0.9,1
48,1574295374186,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
49,1574295374186,Iris-virginica,Iris-virginica,8,0.1,0.9,1
50,1574295374186,Iris-virginica,Iris-virginica,8,0.1,0.9,1
51,1574295374186,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
52,1574295374186,Iris-virginica,Iris-virginica,8,0.1,0.9,1
53,1574295374186,Iris-setosa,Iris-setosa,8,0.1,0.9,1
54,1574295374186,Iris-setosa,Iris-setosa,8,0.1,0.9,1
55,1574295374186,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
56,1574295374186,Iris-setosa,Iris-setosa,8,0.1,0.9,1
57,1574295374186,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
58,1574295374186,Iris-virginica,Iris-virginica,8,0.1,0.9,1
59,1574295374186,Iris-virginica,Iris-virginica,8,0.1,0.9,1
60,1574295374186,Iris-setosa,Iris-setosa,8,0.1,0.9,1
61,1574295374186,Iris-virginica,Iris-virginica,8,0.1,0.9,1
