testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374190,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
1,1574295374190,Iris-virginica,Iris-virginica,9,0.1,0.9,1
2,1574295374190,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
3,1574295374190,Iris-virginica,Iris-virginica,9,0.1,0.9,1
4,1574295374190,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
5,1574295374190,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
6,1574295374190,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
7,1574295374190,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
8,1574295374190,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
9,1574295374190,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
10,1574295374190,Iris-virginica,Iris-virginica,9,0.1,0.9,1
11,1574295374190,Iris-virginica,Iris-virginica,9,0.1,0.9,1
12,1574295374190,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
13,1574295374190,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
14,1574295374190,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
15,1574295374190,Iris-virginica,Iris-virginica,9,0.1,0.9,1
16,1574295374190,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
17,1574295374190,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
18,1574295374190,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
19,1574295374190,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
20,1574295374190,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
21,1574295374190,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
22,1574295374190,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
23,1574295374190,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
24,1574295374190,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
25,1574295374191,Iris-virginica,Iris-virginica,9,0.1,0.9,1
26,1574295374191,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
27,1574295374191,Iris-virginica,Iris-virginica,9,0.1,0.9,1
28,1574295374191,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
29,1574295374191,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
30,1574295374191,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
31,1574295374203,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
32,1574295374203,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
33,1574295374203,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
34,1574295374203,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
35,1574295374203,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
36,1574295374203,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
37,1574295374203,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
38,1574295374203,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
39,1574295374203,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
40,1574295374203,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
41,1574295374203,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
42,1574295374203,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
43,1574295374203,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
44,1574295374203,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
45,1574295374203,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
46,1574295374203,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
47,1574295374203,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
48,1574295374203,Iris-virginica,Iris-virginica,9,0.1,0.9,1
