testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374216,Iris-setosa,Iris-setosa,12,0.1,0.9,1
1,1574295374216,Iris-setosa,Iris-setosa,12,0.1,0.9,1
2,1574295374216,Iris-setosa,Iris-setosa,12,0.1,0.9,1
3,1574295374216,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
4,1574295374216,Iris-setosa,Iris-setosa,12,0.1,0.9,1
5,1574295374216,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
6,1574295374216,Iris-setosa,Iris-setosa,12,0.1,0.9,1
7,1574295374216,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
8,1574295374216,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
9,1574295374216,Iris-setosa,Iris-setosa,12,0.1,0.9,1
10,1574295374216,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
11,1574295374216,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
12,1574295374216,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
13,1574295374216,Iris-setosa,Iris-setosa,12,0.1,0.9,1
14,1574295374216,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
15,1574295374216,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
16,1574295374217,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
17,1574295374217,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
18,1574295374217,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
19,1574295374217,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
20,1574295374217,Iris-setosa,Iris-setosa,12,0.1,0.9,1
21,1574295374217,Iris-setosa,Iris-setosa,12,0.1,0.9,1
22,1574295374217,Iris-setosa,Iris-setosa,12,0.1,0.9,1
23,1574295374217,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
24,1574295374217,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
25,1574295374217,Iris-setosa,Iris-setosa,12,0.1,0.9,1
26,1574295374217,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
27,1574295374217,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
28,1574295374217,Iris-setosa,Iris-setosa,12,0.1,0.9,1
29,1574295374217,Iris-setosa,Iris-setosa,12,0.1,0.9,1
30,1574295374217,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
31,1574295374217,Iris-setosa,Iris-setosa,12,0.1,0.9,1
32,1574295374217,Iris-versicolor,Iris-virginica,12,0.1,0.9,0
33,1574295374217,Iris-setosa,Iris-setosa,12,0.1,0.9,1
34,1574295374217,Iris-setosa,Iris-setosa,12,0.1,0.9,1
35,1574295374217,Iris-versicolor,Iris-versicolor,12,0.1,0.9,1
