testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374212,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
1,1574295374212,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
2,1574295374212,Iris-virginica,Iris-virginica,11,0.1,0.9,1
3,1574295374212,Iris-versicolor,Iris-versicolor,11,0.1,0.9,1
4,1574295374212,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
5,1574295374212,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
6,1574295374212,Iris-virginica,Iris-virginica,11,0.1,0.9,1
7,1574295374212,Iris-versicolor,Iris-versicolor,11,0.1,0.9,1
8,1574295374212,Iris-virginica,Iris-virginica,11,0.1,0.9,1
9,1574295374212,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
10,1574295374212,Iris-virginica,Iris-virginica,11,0.1,0.9,1
11,1574295374212,Iris-virginica,Iris-virginica,11,0.1,0.9,1
12,1574295374212,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
13,1574295374212,Iris-virginica,Iris-virginica,11,0.1,0.9,1
14,1574295374212,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
15,1574295374212,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
16,1574295374212,Iris-virginica,Iris-virginica,11,0.1,0.9,1
17,1574295374212,Iris-virginica,Iris-virginica,11,0.1,0.9,1
18,1574295374212,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
19,1574295374212,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
20,1574295374212,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
21,1574295374213,Iris-virginica,Iris-virginica,11,0.1,0.9,1
22,1574295374213,Iris-virginica,Iris-virginica,11,0.1,0.9,1
23,1574295374213,Iris-virginica,Iris-virginica,11,0.1,0.9,1
24,1574295374213,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
25,1574295374213,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
26,1574295374213,Iris-virginica,Iris-virginica,11,0.1,0.9,1
