testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374224,Iris-virginica,Iris-versicolor,4,0.1,0.9,0
1,1574295374224,Iris-setosa,Iris-setosa,4,0.1,0.9,1
2,1574295374224,Iris-setosa,Iris-setosa,4,0.1,0.9,1
3,1574295374224,Iris-virginica,Iris-virginica,4,0.1,0.9,1
4,1574295374224,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
5,1574295374224,Iris-virginica,Iris-virginica,4,0.1,0.9,1
6,1574295374224,Iris-virginica,Iris-virginica,4,0.1,0.9,1
7,1574295374224,Iris-setosa,Iris-setosa,4,0.1,0.9,1
8,1574295374224,Iris-virginica,Iris-versicolor,4,0.1,0.9,0
9,1574295374224,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
10,1574295374224,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
11,1574295374224,Iris-setosa,Iris-setosa,4,0.1,0.9,1
12,1574295374224,Iris-virginica,Iris-versicolor,4,0.1,0.9,0
13,1574295374224,Iris-virginica,Iris-versicolor,4,0.1,0.9,0
14,1574295374224,Iris-virginica,Iris-versicolor,4,0.1,0.9,0
15,1574295374224,Iris-setosa,Iris-setosa,4,0.1,0.9,1
16,1574295374224,Iris-virginica,Iris-virginica,4,0.1,0.9,1
17,1574295374224,Iris-setosa,Iris-setosa,4,0.1,0.9,1
18,1574295374224,Iris-setosa,Iris-setosa,4,0.1,0.9,1
19,1574295374224,Iris-virginica,Iris-versicolor,4,0.1,0.9,0
20,1574295374224,Iris-setosa,Iris-setosa,4,0.1,0.9,1
21,1574295374224,Iris-setosa,Iris-setosa,4,0.1,0.9,1
22,1574295374224,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
23,1574295374224,Iris-virginica,Iris-versicolor,4,0.1,0.9,0
24,1574295374224,Iris-virginica,Iris-virginica,4,0.1,0.9,1
25,1574295374224,Iris-setosa,Iris-setosa,4,0.1,0.9,1
26,1574295374224,Iris-setosa,Iris-setosa,4,0.1,0.9,1
27,1574295374224,Iris-setosa,Iris-setosa,4,0.1,0.9,1
28,1574295374225,Iris-setosa,Iris-setosa,4,0.1,0.9,1
29,1574295374225,Iris-versicolor,Iris-versicolor,4,0.1,0.9,1
30,1574295374225,Iris-virginica,Iris-virginica,4,0.1,0.9,1
31,1574295374225,Iris-setosa,Iris-setosa,4,0.1,0.9,1
32,1574295374225,Iris-setosa,Iris-setosa,4,0.1,0.9,1
33,1574295374225,Iris-virginica,Iris-virginica,4,0.1,0.9,1
34,1574295374225,Iris-setosa,Iris-setosa,4,0.1,0.9,1
35,1574295374225,Iris-virginica,Iris-virginica,4,0.1,0.9,1
36,1574295374225,Iris-setosa,Iris-setosa,4,0.1,0.9,1
37,1574295374225,Iris-setosa,Iris-setosa,4,0.1,0.9,1
38,1574295374225,Iris-virginica,Iris-virginica,4,0.1,0.9,1
39,1574295374225,Iris-virginica,Iris-virginica,4,0.1,0.9,1
40,1574295374225,Iris-virginica,Iris-versicolor,4,0.1,0.9,0
41,1574295374225,Iris-setosa,Iris-setosa,4,0.1,0.9,1
42,1574295374225,Iris-setosa,Iris-setosa,4,0.1,0.9,1
