testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374240,Iris-setosa,Iris-setosa,8,0.1,0.9,1
1,1574295374240,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
2,1574295374240,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
3,1574295374240,Iris-setosa,Iris-versicolor,8,0.1,0.9,0
4,1574295374240,Iris-setosa,Iris-setosa,8,0.1,0.9,1
5,1574295374240,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
6,1574295374240,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
7,1574295374240,Iris-setosa,Iris-setosa,8,0.1,0.9,1
8,1574295374240,Iris-virginica,Iris-virginica,8,0.1,0.9,1
9,1574295374240,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
10,1574295374240,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
11,1574295374240,Iris-virginica,Iris-virginica,8,0.1,0.9,1
12,1574295374240,Iris-setosa,Iris-setosa,8,0.1,0.9,1
13,1574295374240,Iris-setosa,Iris-setosa,8,0.1,0.9,1
14,1574295374240,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
15,1574295374240,Iris-virginica,Iris-virginica,8,0.1,0.9,1
16,1574295374240,Iris-setosa,Iris-setosa,8,0.1,0.9,1
17,1574295374240,Iris-setosa,Iris-setosa,8,0.1,0.9,1
18,1574295374240,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
19,1574295374240,Iris-virginica,Iris-virginica,8,0.1,0.9,1
20,1574295374241,Iris-setosa,Iris-versicolor,8,0.1,0.9,0
21,1574295374241,Iris-virginica,Iris-virginica,8,0.1,0.9,1
22,1574295374241,Iris-virginica,Iris-virginica,8,0.1,0.9,1
23,1574295374241,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
24,1574295374241,Iris-virginica,Iris-virginica,8,0.1,0.9,1
25,1574295374241,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
26,1574295374241,Iris-setosa,Iris-setosa,8,0.1,0.9,1
27,1574295374241,Iris-setosa,Iris-setosa,8,0.1,0.9,1
28,1574295374241,Iris-setosa,Iris-setosa,8,0.1,0.9,1
29,1574295374241,Iris-setosa,Iris-setosa,8,0.1,0.9,1
30,1574295374241,Iris-setosa,Iris-setosa,8,0.1,0.9,1
31,1574295374241,Iris-setosa,Iris-setosa,8,0.1,0.9,1
32,1574295374241,Iris-setosa,Iris-setosa,8,0.1,0.9,1
33,1574295374241,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
34,1574295374241,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
35,1574295374241,Iris-setosa,Iris-setosa,8,0.1,0.9,1
36,1574295374241,Iris-setosa,Iris-setosa,8,0.1,0.9,1
37,1574295374241,Iris-virginica,Iris-virginica,8,0.1,0.9,1
38,1574295374241,Iris-setosa,Iris-versicolor,8,0.1,0.9,0
39,1574295374241,Iris-virginica,Iris-virginica,8,0.1,0.9,1
40,1574295374241,Iris-virginica,Iris-virginica,8,0.1,0.9,1
41,1574295374241,Iris-virginica,Iris-virginica,8,0.1,0.9,1
42,1574295374241,Iris-virginica,Iris-virginica,8,0.1,0.9,1
43,1574295374241,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
44,1574295374241,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
45,1574295374241,Iris-virginica,Iris-virginica,8,0.1,0.9,1
46,1574295374241,Iris-setosa,Iris-setosa,8,0.1,0.9,1
47,1574295374241,Iris-setosa,Iris-setosa,8,0.1,0.9,1
48,1574295374241,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
49,1574295374241,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
50,1574295374241,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
51,1574295374241,Iris-virginica,Iris-virginica,8,0.1,0.9,1
52,1574295374241,Iris-virginica,Iris-virginica,8,0.1,0.9,1
53,1574295374241,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
54,1574295374241,Iris-virginica,Iris-virginica,8,0.1,0.9,1
55,1574295374241,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
56,1574295374241,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
57,1574295374241,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
58,1574295374241,Iris-setosa,Iris-setosa,8,0.1,0.9,1
59,1574295374241,Iris-setosa,Iris-setosa,8,0.1,0.9,1
60,1574295374242,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
61,1574295374242,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
62,1574295374242,Iris-setosa,Iris-setosa,8,0.1,0.9,1
63,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
64,1574295374242,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
65,1574295374242,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
66,1574295374242,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
67,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
68,1574295374242,Iris-setosa,Iris-setosa,8,0.1,0.9,1
69,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
70,1574295374242,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
71,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
72,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
73,1574295374242,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
74,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
75,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
76,1574295374242,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
77,1574295374242,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
78,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
79,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
80,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
81,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
82,1574295374242,Iris-setosa,Iris-setosa,8,0.1,0.9,1
83,1574295374242,Iris-setosa,Iris-setosa,8,0.1,0.9,1
84,1574295374242,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
85,1574295374242,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
86,1574295374242,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
87,1574295374242,Iris-setosa,Iris-setosa,8,0.1,0.9,1
88,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
89,1574295374242,Iris-setosa,Iris-setosa,8,0.1,0.9,1
90,1574295374242,Iris-setosa,Iris-setosa,8,0.1,0.9,1
91,1574295374242,Iris-setosa,Iris-setosa,8,0.1,0.9,1
92,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
93,1574295374242,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
94,1574295374242,Iris-setosa,Iris-setosa,8,0.1,0.9,1
95,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
96,1574295374242,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
97,1574295374242,Iris-setosa,Iris-setosa,8,0.1,0.9,1
98,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
99,1574295374242,Iris-setosa,Iris-setosa,8,0.1,0.9,1
100,1574295374242,Iris-virginica,Iris-virginica,8,0.1,0.9,1
101,1574295374243,Iris-setosa,Iris-setosa,8,0.1,0.9,1
102,1574295374243,Iris-setosa,Iris-setosa,8,0.1,0.9,1
103,1574295374243,Iris-virginica,Iris-virginica,8,0.1,0.9,1
104,1574295374243,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
105,1574295374243,Iris-virginica,Iris-virginica,8,0.1,0.9,1
106,1574295374243,Iris-setosa,Iris-setosa,8,0.1,0.9,1
107,1574295374243,Iris-virginica,Iris-virginica,8,0.1,0.9,1
108,1574295374243,Iris-setosa,Iris-setosa,8,0.1,0.9,1
109,1574295374243,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
110,1574295374243,Iris-virginica,Iris-virginica,8,0.1,0.9,1
111,1574295374243,Iris-setosa,Iris-setosa,8,0.1,0.9,1
112,1574295374243,Iris-setosa,Iris-setosa,8,0.1,0.9,1
113,1574295374243,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
114,1574295374243,Iris-virginica,Iris-virginica,8,0.1,0.9,1
115,1574295374243,Iris-setosa,Iris-setosa,8,0.1,0.9,1
116,1574295374243,Iris-setosa,Iris-setosa,8,0.1,0.9,1
117,1574295374243,Iris-virginica,Iris-virginica,8,0.1,0.9,1
118,1574295374243,Iris-virginica,Iris-virginica,8,0.1,0.9,1
119,1574295374243,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
120,1574295374243,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
121,1574295374243,Iris-setosa,Iris-setosa,8,0.1,0.9,1
122,1574295374243,Iris-virginica,Iris-versicolor,8,0.1,0.9,0
123,1574295374243,Iris-setosa,Iris-setosa,8,0.1,0.9,1
