testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374249,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
1,1574295374249,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
2,1574295374249,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
3,1574295374249,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
4,1574295374249,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
5,1574295374249,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
6,1574295374249,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
7,1574295374249,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
8,1574295374249,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
9,1574295374249,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
10,1574295374249,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
11,1574295374249,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
12,1574295374249,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
13,1574295374249,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
14,1574295374249,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
15,1574295374249,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
16,1574295374249,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
17,1574295374249,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
18,1574295374249,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
19,1574295374249,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
20,1574295374249,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
21,1574295374249,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
22,1574295374249,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
23,1574295374249,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
24,1574295374249,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
25,1574295374249,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
26,1574295374249,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
27,1574295374249,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
28,1574295374249,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
29,1574295374249,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
30,1574295374249,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
31,1574295374249,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
32,1574295374249,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
33,1574295374249,Iris-versicolor,Iris-versicolor,10,0.1,0.9,1
34,1574295374249,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
35,1574295374249,Iris-versicolor,Iris-virginica,10,0.1,0.9,0
36,1574295374249,Iris-versicolor,Iris-setosa,10,0.1,0.9,0
