testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374244,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
1,1574295374244,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
2,1574295374245,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
3,1574295374245,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
4,1574295374245,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
5,1574295374245,Iris-virginica,Iris-virginica,9,0.1,0.9,1
6,1574295374245,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
7,1574295374245,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
8,1574295374245,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
9,1574295374245,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
10,1574295374245,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
11,1574295374245,Iris-virginica,Iris-virginica,9,0.1,0.9,1
12,1574295374245,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
13,1574295374245,Iris-virginica,Iris-virginica,9,0.1,0.9,1
14,1574295374245,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
15,1574295374245,Iris-virginica,Iris-virginica,9,0.1,0.9,1
16,1574295374245,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
17,1574295374245,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
18,1574295374245,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
19,1574295374245,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
20,1574295374245,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
21,1574295374245,Iris-virginica,Iris-virginica,9,0.1,0.9,1
22,1574295374245,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
23,1574295374245,Iris-virginica,Iris-virginica,9,0.1,0.9,1
24,1574295374245,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
25,1574295374245,Iris-versicolor,Iris-virginica,9,0.1,0.9,0
26,1574295374245,Iris-versicolor,Iris-versicolor,9,0.1,0.9,1
27,1574295374245,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
28,1574295374245,Iris-versicolor,Iris-setosa,9,0.1,0.9,0
