testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374253,Iris-versicolor,Iris-versicolor,11,0.1,0.9,1
1,1574295374253,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
2,1574295374253,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
3,1574295374253,Iris-virginica,Iris-virginica,11,0.1,0.9,1
4,1574295374253,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
5,1574295374253,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
6,1574295374253,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
7,1574295374253,Iris-virginica,Iris-virginica,11,0.1,0.9,1
8,1574295374253,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
9,1574295374253,Iris-versicolor,Iris-versicolor,11,0.1,0.9,1
10,1574295374253,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
11,1574295374253,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
12,1574295374253,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
13,1574295374253,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
14,1574295374253,Iris-virginica,Iris-virginica,11,0.1,0.9,1
15,1574295374253,Iris-versicolor,Iris-versicolor,11,0.1,0.9,1
16,1574295374253,Iris-virginica,Iris-virginica,11,0.1,0.9,1
17,1574295374253,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
18,1574295374253,Iris-virginica,Iris-virginica,11,0.1,0.9,1
19,1574295374253,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
20,1574295374253,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
21,1574295374253,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
22,1574295374253,Iris-virginica,Iris-virginica,11,0.1,0.9,1
23,1574295374253,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
24,1574295374253,Iris-virginica,Iris-virginica,11,0.1,0.9,1
25,1574295374253,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
26,1574295374253,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
27,1574295374253,Iris-virginica,Iris-virginica,11,0.1,0.9,1
28,1574295374253,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
29,1574295374253,Iris-virginica,Iris-virginica,11,0.1,0.9,1
30,1574295374253,Iris-versicolor,Iris-versicolor,11,0.1,0.9,1
31,1574295374253,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
32,1574295374253,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
33,1574295374253,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
34,1574295374253,Iris-virginica,Iris-virginica,11,0.1,0.9,1
35,1574295374253,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
36,1574295374253,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
37,1574295374253,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
38,1574295374253,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
39,1574295374253,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
40,1574295374253,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
41,1574295374253,Iris-virginica,Iris-virginica,11,0.1,0.9,1
42,1574295374253,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
43,1574295374253,Iris-virginica,Iris-virginica,11,0.1,0.9,1
44,1574295374254,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
45,1574295374254,Iris-virginica,Iris-virginica,11,0.1,0.9,1
46,1574295374254,Iris-virginica,Iris-virginica,11,0.1,0.9,1
47,1574295374254,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
48,1574295374254,Iris-virginica,Iris-virginica,11,0.1,0.9,1
49,1574295374254,Iris-virginica,Iris-virginica,11,0.1,0.9,1
50,1574295374254,Iris-virginica,Iris-virginica,11,0.1,0.9,1
51,1574295374254,Iris-virginica,Iris-virginica,11,0.1,0.9,1
52,1574295374254,Iris-virginica,Iris-virginica,11,0.1,0.9,1
53,1574295374254,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
54,1574295374254,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
55,1574295374254,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
56,1574295374254,Iris-virginica,Iris-versicolor,11,0.1,0.9,0
57,1574295374254,Iris-virginica,Iris-virginica,11,0.1,0.9,1
58,1574295374254,Iris-versicolor,Iris-setosa,11,0.1,0.9,0
