testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374416,Iris-virginica,Iris-virginica,11,0.2,0.8,1
1,1574295374416,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
2,1574295374416,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
3,1574295374416,Iris-virginica,Iris-virginica,11,0.2,0.8,1
4,1574295374416,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
5,1574295374416,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
6,1574295374416,Iris-versicolor,Iris-versicolor,11,0.2,0.8,1
7,1574295374416,Iris-virginica,Iris-virginica,11,0.2,0.8,1
8,1574295374416,Iris-virginica,Iris-virginica,11,0.2,0.8,1
9,1574295374416,Iris-virginica,Iris-virginica,11,0.2,0.8,1
10,1574295374416,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
11,1574295374416,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
12,1574295374416,Iris-versicolor,Iris-versicolor,11,0.2,0.8,1
13,1574295374416,Iris-versicolor,Iris-versicolor,11,0.2,0.8,1
14,1574295374417,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
15,1574295374417,Iris-versicolor,Iris-versicolor,11,0.2,0.8,1
16,1574295374417,Iris-virginica,Iris-virginica,11,0.2,0.8,1
17,1574295374417,Iris-virginica,Iris-virginica,11,0.2,0.8,1
18,1574295374417,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
19,1574295374417,Iris-versicolor,Iris-versicolor,11,0.2,0.8,1
20,1574295374417,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
21,1574295374417,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
22,1574295374417,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
23,1574295374417,Iris-versicolor,Iris-versicolor,11,0.2,0.8,1
24,1574295374417,Iris-virginica,Iris-virginica,11,0.2,0.8,1
25,1574295374417,Iris-virginica,Iris-virginica,11,0.2,0.8,1
26,1574295374417,Iris-versicolor,Iris-versicolor,11,0.2,0.8,1
27,1574295374417,Iris-virginica,Iris-versicolor,11,0.2,0.8,0
28,1574295374417,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
29,1574295374417,Iris-virginica,Iris-virginica,11,0.2,0.8,1
30,1574295374417,Iris-virginica,Iris-virginica,11,0.2,0.8,1
31,1574295374417,Iris-versicolor,Iris-versicolor,11,0.2,0.8,1
32,1574295374417,Iris-versicolor,Iris-versicolor,11,0.2,0.8,1
33,1574295374417,Iris-virginica,Iris-virginica,11,0.2,0.8,1
34,1574295374417,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
35,1574295374417,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
36,1574295374417,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
37,1574295374417,Iris-virginica,Iris-virginica,11,0.2,0.8,1
38,1574295374417,Iris-versicolor,Iris-versicolor,11,0.2,0.8,1
39,1574295374417,Iris-virginica,Iris-virginica,11,0.2,0.8,1
40,1574295374417,Iris-versicolor,Iris-versicolor,11,0.2,0.8,1
41,1574295374417,Iris-versicolor,Iris-versicolor,11,0.2,0.8,1
42,1574295374417,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
43,1574295374417,Iris-versicolor,Iris-setosa,11,0.2,0.8,0
44,1574295374417,Iris-versicolor,Iris-versicolor,11,0.2,0.8,1
