testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374453,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
1,1574295374453,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
2,1574295374453,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
3,1574295374453,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
4,1574295374453,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
5,1574295374453,Iris-virginica,Iris-virginica,9,0.2,0.8,1
6,1574295374453,Iris-virginica,Iris-virginica,9,0.2,0.8,1
7,1574295374453,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
8,1574295374453,Iris-virginica,Iris-virginica,9,0.2,0.8,1
9,1574295374453,Iris-virginica,Iris-virginica,9,0.2,0.8,1
10,1574295374453,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
11,1574295374453,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
12,1574295374454,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
13,1574295374454,Iris-virginica,Iris-virginica,9,0.2,0.8,1
14,1574295374454,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
15,1574295374454,Iris-virginica,Iris-virginica,9,0.2,0.8,1
16,1574295374454,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
17,1574295374454,Iris-virginica,Iris-virginica,9,0.2,0.8,1
18,1574295374454,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
19,1574295374454,Iris-virginica,Iris-virginica,9,0.2,0.8,1
20,1574295374454,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
21,1574295374454,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
22,1574295374454,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
23,1574295374454,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
24,1574295374454,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
25,1574295374454,Iris-virginica,Iris-virginica,9,0.2,0.8,1
26,1574295374454,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
27,1574295374454,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
28,1574295374454,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
29,1574295374454,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
30,1574295374454,Iris-virginica,Iris-virginica,9,0.2,0.8,1
31,1574295374454,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
32,1574295374454,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
33,1574295374454,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
34,1574295374454,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
35,1574295374454,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
36,1574295374454,Iris-virginica,Iris-virginica,9,0.2,0.8,1
37,1574295374454,Iris-virginica,Iris-versicolor,9,0.2,0.8,0
38,1574295374454,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
39,1574295374454,Iris-virginica,Iris-virginica,9,0.2,0.8,1
40,1574295374455,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
41,1574295374455,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
42,1574295374455,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
43,1574295374455,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
44,1574295374455,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
45,1574295374455,Iris-versicolor,Iris-virginica,9,0.2,0.8,0
46,1574295374455,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
47,1574295374455,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
48,1574295374455,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
49,1574295374455,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
50,1574295374455,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
51,1574295374455,Iris-virginica,Iris-virginica,9,0.2,0.8,1
52,1574295374455,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
53,1574295374455,Iris-virginica,Iris-virginica,9,0.2,0.8,1
54,1574295374455,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
55,1574295374455,Iris-virginica,Iris-virginica,9,0.2,0.8,1
56,1574295374455,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
57,1574295374455,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
58,1574295374455,Iris-virginica,Iris-virginica,9,0.2,0.8,1
59,1574295374455,Iris-virginica,Iris-virginica,9,0.2,0.8,1
60,1574295374455,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
61,1574295374455,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
62,1574295374455,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
63,1574295374455,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
64,1574295374455,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
65,1574295374455,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
66,1574295374455,Iris-versicolor,Iris-virginica,9,0.2,0.8,0
67,1574295374455,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
68,1574295374455,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
69,1574295374456,Iris-virginica,Iris-virginica,9,0.2,0.8,1
70,1574295374456,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
71,1574295374456,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
72,1574295374456,Iris-virginica,Iris-virginica,9,0.2,0.8,1
73,1574295374456,Iris-virginica,Iris-virginica,9,0.2,0.8,1
74,1574295374456,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
75,1574295374456,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
76,1574295374456,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
77,1574295374456,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
78,1574295374456,Iris-virginica,Iris-virginica,9,0.2,0.8,1
79,1574295374456,Iris-virginica,Iris-virginica,9,0.2,0.8,1
80,1574295374456,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
81,1574295374456,Iris-virginica,Iris-virginica,9,0.2,0.8,1
82,1574295374456,Iris-versicolor,Iris-virginica,9,0.2,0.8,0
83,1574295374456,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
84,1574295374456,Iris-virginica,Iris-virginica,9,0.2,0.8,1
85,1574295374456,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
86,1574295374456,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
87,1574295374456,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
88,1574295374456,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
89,1574295374456,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
90,1574295374456,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
91,1574295374456,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
92,1574295374456,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
93,1574295374456,Iris-virginica,Iris-virginica,9,0.2,0.8,1
94,1574295374456,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
95,1574295374456,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
96,1574295374456,Iris-virginica,Iris-virginica,9,0.2,0.8,1
97,1574295374456,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
98,1574295374456,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
99,1574295374457,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
100,1574295374457,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
101,1574295374457,Iris-virginica,Iris-virginica,9,0.2,0.8,1
102,1574295374457,Iris-virginica,Iris-virginica,9,0.2,0.8,1
103,1574295374457,Iris-virginica,Iris-virginica,9,0.2,0.8,1
104,1574295374457,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
105,1574295374457,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
106,1574295374457,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
107,1574295374457,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
108,1574295374457,Iris-virginica,Iris-virginica,9,0.2,0.8,1
109,1574295374457,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
110,1574295374457,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
111,1574295374457,Iris-virginica,Iris-versicolor,9,0.2,0.8,0
112,1574295374457,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
113,1574295374457,Iris-virginica,Iris-virginica,9,0.2,0.8,1
114,1574295374457,Iris-versicolor,Iris-virginica,9,0.2,0.8,0
115,1574295374457,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
116,1574295374457,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
117,1574295374457,Iris-versicolor,Iris-versicolor,9,0.2,0.8,1
118,1574295374457,Iris-virginica,Iris-virginica,9,0.2,0.8,1
119,1574295374457,Iris-versicolor,Iris-setosa,9,0.2,0.8,0
