testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374564,Iris-virginica,Iris-versicolor,5,0.3,0.7,0
1,1574295374565,Iris-versicolor,Iris-versicolor,5,0.3,0.7,1
2,1574295374565,Iris-versicolor,Iris-versicolor,5,0.3,0.7,1
3,1574295374565,Iris-versicolor,Iris-versicolor,5,0.3,0.7,1
4,1574295374565,Iris-versicolor,Iris-versicolor,5,0.3,0.7,1
5,1574295374565,Iris-setosa,Iris-setosa,5,0.3,0.7,1
6,1574295374565,Iris-setosa,Iris-setosa,5,0.3,0.7,1
7,1574295374565,Iris-virginica,Iris-virginica,5,0.3,0.7,1
8,1574295374565,Iris-virginica,Iris-virginica,5,0.3,0.7,1
9,1574295374565,Iris-versicolor,Iris-versicolor,5,0.3,0.7,1
10,1574295374565,Iris-virginica,Iris-virginica,5,0.3,0.7,1
11,1574295374565,Iris-setosa,Iris-setosa,5,0.3,0.7,1
12,1574295374565,Iris-versicolor,Iris-versicolor,5,0.3,0.7,1
13,1574295374565,Iris-setosa,Iris-setosa,5,0.3,0.7,1
14,1574295374565,Iris-versicolor,Iris-versicolor,5,0.3,0.7,1
15,1574295374566,Iris-versicolor,Iris-versicolor,5,0.3,0.7,1
16,1574295374566,Iris-virginica,Iris-versicolor,5,0.3,0.7,0
17,1574295374566,Iris-virginica,Iris-virginica,5,0.3,0.7,1
18,1574295374566,Iris-versicolor,Iris-versicolor,5,0.3,0.7,1
19,1574295374566,Iris-versicolor,Iris-versicolor,5,0.3,0.7,1
20,1574295374566,Iris-virginica,Iris-virginica,5,0.3,0.7,1
21,1574295374566,Iris-virginica,Iris-virginica,5,0.3,0.7,1
22,1574295374566,Iris-virginica,Iris-virginica,5,0.3,0.7,1
23,1574295374566,Iris-setosa,Iris-setosa,5,0.3,0.7,1
24,1574295374566,Iris-versicolor,Iris-versicolor,5,0.3,0.7,1
25,1574295374566,Iris-setosa,Iris-setosa,5,0.3,0.7,1
26,1574295374566,Iris-versicolor,Iris-versicolor,5,0.3,0.7,1
27,1574295374566,Iris-virginica,Iris-virginica,5,0.3,0.7,1
28,1574295374566,Iris-virginica,Iris-virginica,5,0.3,0.7,1
29,1574295374567,Iris-versicolor,Iris-versicolor,5,0.3,0.7,1
30,1574295374567,Iris-versicolor,Iris-versicolor,5,0.3,0.7,1
31,1574295374567,Iris-setosa,Iris-setosa,5,0.3,0.7,1
32,1574295374567,Iris-virginica,Iris-virginica,5,0.3,0.7,1
