testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295374993,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
1,1574295374993,Iris-setosa,Iris-setosa,4,0.4,0.6,1
2,1574295374993,Iris-virginica,Iris-virginica,4,0.4,0.6,1
3,1574295374993,Iris-virginica,Iris-virginica,4,0.4,0.6,1
4,1574295374993,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
5,1574295374993,Iris-setosa,Iris-setosa,4,0.4,0.6,1
6,1574295374993,Iris-virginica,Iris-virginica,4,0.4,0.6,1
7,1574295374993,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
8,1574295374993,Iris-virginica,Iris-virginica,4,0.4,0.6,1
9,1574295374993,Iris-virginica,Iris-virginica,4,0.4,0.6,1
10,1574295374993,Iris-setosa,Iris-setosa,4,0.4,0.6,1
11,1574295374993,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
12,1574295374993,Iris-virginica,Iris-virginica,4,0.4,0.6,1
13,1574295374993,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
14,1574295374993,Iris-virginica,Iris-virginica,4,0.4,0.6,1
15,1574295374993,Iris-setosa,Iris-setosa,4,0.4,0.6,1
16,1574295374993,Iris-virginica,Iris-virginica,4,0.4,0.6,1
17,1574295374993,Iris-virginica,Iris-virginica,4,0.4,0.6,1
18,1574295374993,Iris-setosa,Iris-setosa,4,0.4,0.6,1
19,1574295374993,Iris-setosa,Iris-setosa,4,0.4,0.6,1
20,1574295374993,Iris-virginica,Iris-virginica,4,0.4,0.6,1
21,1574295374993,Iris-versicolor,Iris-virginica,4,0.4,0.6,0
22,1574295374993,Iris-virginica,Iris-virginica,4,0.4,0.6,1
23,1574295374993,Iris-setosa,Iris-setosa,4,0.4,0.6,1
24,1574295374993,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
25,1574295374994,Iris-setosa,Iris-setosa,4,0.4,0.6,1
26,1574295374994,Iris-virginica,Iris-virginica,4,0.4,0.6,1
27,1574295374994,Iris-setosa,Iris-setosa,4,0.4,0.6,1
28,1574295374994,Iris-setosa,Iris-setosa,4,0.4,0.6,1
29,1574295374994,Iris-virginica,Iris-virginica,4,0.4,0.6,1
30,1574295374994,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
31,1574295374994,Iris-virginica,Iris-virginica,4,0.4,0.6,1
32,1574295374994,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
33,1574295374994,Iris-setosa,Iris-setosa,4,0.4,0.6,1
34,1574295374994,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
35,1574295374994,Iris-virginica,Iris-virginica,4,0.4,0.6,1
36,1574295374994,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
37,1574295374994,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
38,1574295374994,Iris-virginica,Iris-virginica,4,0.4,0.6,1
39,1574295374994,Iris-versicolor,Iris-virginica,4,0.4,0.6,0
40,1574295374994,Iris-setosa,Iris-setosa,4,0.4,0.6,1
41,1574295374994,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
42,1574295374994,Iris-virginica,Iris-virginica,4,0.4,0.6,1
43,1574295374994,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
44,1574295374994,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
45,1574295374994,Iris-virginica,Iris-virginica,4,0.4,0.6,1
46,1574295374994,Iris-virginica,Iris-virginica,4,0.4,0.6,1
47,1574295374994,Iris-setosa,Iris-setosa,4,0.4,0.6,1
48,1574295374994,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
49,1574295374994,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
50,1574295374994,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
51,1574295374995,Iris-virginica,Iris-virginica,4,0.4,0.6,1
52,1574295374995,Iris-setosa,Iris-setosa,4,0.4,0.6,1
53,1574295374995,Iris-setosa,Iris-setosa,4,0.4,0.6,1
54,1574295374995,Iris-virginica,Iris-virginica,4,0.4,0.6,1
55,1574295374995,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
56,1574295374995,Iris-virginica,Iris-versicolor,4,0.4,0.6,0
57,1574295374995,Iris-setosa,Iris-setosa,4,0.4,0.6,1
58,1574295374995,Iris-setosa,Iris-setosa,4,0.4,0.6,1
59,1574295374995,Iris-virginica,Iris-virginica,4,0.4,0.6,1
60,1574295374995,Iris-virginica,Iris-virginica,4,0.4,0.6,1
61,1574295374995,Iris-virginica,Iris-virginica,4,0.4,0.6,1
62,1574295374995,Iris-virginica,Iris-virginica,4,0.4,0.6,1
63,1574295374995,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
64,1574295374995,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
65,1574295374995,Iris-virginica,Iris-virginica,4,0.4,0.6,1
66,1574295374995,Iris-virginica,Iris-virginica,4,0.4,0.6,1
67,1574295374995,Iris-setosa,Iris-setosa,4,0.4,0.6,1
68,1574295374995,Iris-setosa,Iris-setosa,4,0.4,0.6,1
69,1574295374995,Iris-virginica,Iris-virginica,4,0.4,0.6,1
70,1574295374995,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
71,1574295374995,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
72,1574295374995,Iris-virginica,Iris-virginica,4,0.4,0.6,1
73,1574295374995,Iris-setosa,Iris-setosa,4,0.4,0.6,1
74,1574295374995,Iris-setosa,Iris-setosa,4,0.4,0.6,1
75,1574295374995,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
76,1574295374995,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
77,1574295374995,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
78,1574295374995,Iris-virginica,Iris-versicolor,4,0.4,0.6,0
79,1574295374996,Iris-setosa,Iris-setosa,4,0.4,0.6,1
80,1574295374996,Iris-virginica,Iris-virginica,4,0.4,0.6,1
81,1574295374996,Iris-setosa,Iris-setosa,4,0.4,0.6,1
82,1574295374996,Iris-virginica,Iris-virginica,4,0.4,0.6,1
83,1574295374996,Iris-virginica,Iris-virginica,4,0.4,0.6,1
84,1574295374996,Iris-setosa,Iris-setosa,4,0.4,0.6,1
85,1574295374996,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
86,1574295374996,Iris-setosa,Iris-setosa,4,0.4,0.6,1
87,1574295374996,Iris-setosa,Iris-setosa,4,0.4,0.6,1
88,1574295374996,Iris-versicolor,Iris-versicolor,4,0.4,0.6,1
89,1574295374996,Iris-virginica,Iris-virginica,4,0.4,0.6,1
