testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295375249,Iris-setosa,Iris-setosa,10,0.5,0.5,1
1,1574295375250,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
2,1574295375250,Iris-setosa,Iris-setosa,10,0.5,0.5,1
3,1574295375250,Iris-setosa,Iris-setosa,10,0.5,0.5,1
4,1574295375250,Iris-setosa,Iris-setosa,10,0.5,0.5,1
5,1574295375250,Iris-setosa,Iris-setosa,10,0.5,0.5,1
6,1574295375250,Iris-virginica,Iris-virginica,10,0.5,0.5,1
7,1574295375250,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
8,1574295375250,Iris-virginica,Iris-virginica,10,0.5,0.5,1
9,1574295375250,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
10,1574295375250,Iris-setosa,Iris-setosa,10,0.5,0.5,1
11,1574295375251,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
12,1574295375251,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
13,1574295375251,Iris-setosa,Iris-setosa,10,0.5,0.5,1
14,1574295375251,Iris-versicolor,Iris-virginica,10,0.5,0.5,0
15,1574295375251,Iris-virginica,Iris-virginica,10,0.5,0.5,1
16,1574295375251,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
17,1574295375251,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
18,1574295375251,Iris-setosa,Iris-setosa,10,0.5,0.5,1
19,1574295375251,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
20,1574295375251,Iris-setosa,Iris-setosa,10,0.5,0.5,1
21,1574295375251,Iris-virginica,Iris-virginica,10,0.5,0.5,1
22,1574295375251,Iris-setosa,Iris-setosa,10,0.5,0.5,1
23,1574295375251,Iris-virginica,Iris-virginica,10,0.5,0.5,1
24,1574295375252,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
25,1574295375252,Iris-setosa,Iris-setosa,10,0.5,0.5,1
26,1574295375252,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
27,1574295375252,Iris-virginica,Iris-virginica,10,0.5,0.5,1
28,1574295375252,Iris-setosa,Iris-setosa,10,0.5,0.5,1
29,1574295375252,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
30,1574295375252,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
31,1574295375252,Iris-virginica,Iris-virginica,10,0.5,0.5,1
32,1574295375252,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
33,1574295375252,Iris-virginica,Iris-virginica,10,0.5,0.5,1
34,1574295375253,Iris-setosa,Iris-setosa,10,0.5,0.5,1
35,1574295375253,Iris-setosa,Iris-setosa,10,0.5,0.5,1
36,1574295375253,Iris-virginica,Iris-virginica,10,0.5,0.5,1
37,1574295375253,Iris-versicolor,Iris-virginica,10,0.5,0.5,0
38,1574295375253,Iris-setosa,Iris-setosa,10,0.5,0.5,1
39,1574295375253,Iris-setosa,Iris-setosa,10,0.5,0.5,1
40,1574295375253,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
41,1574295375254,Iris-setosa,Iris-setosa,10,0.5,0.5,1
42,1574295375254,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
43,1574295375254,Iris-virginica,Iris-virginica,10,0.5,0.5,1
44,1574295375254,Iris-virginica,Iris-virginica,10,0.5,0.5,1
45,1574295375254,Iris-setosa,Iris-setosa,10,0.5,0.5,1
46,1574295375254,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
47,1574295375254,Iris-virginica,Iris-virginica,10,0.5,0.5,1
48,1574295375254,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
49,1574295375254,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
50,1574295375254,Iris-virginica,Iris-virginica,10,0.5,0.5,1
51,1574295375254,Iris-virginica,Iris-virginica,10,0.5,0.5,1
52,1574295375254,Iris-setosa,Iris-setosa,10,0.5,0.5,1
53,1574295375255,Iris-setosa,Iris-setosa,10,0.5,0.5,1
54,1574295375255,Iris-virginica,Iris-virginica,10,0.5,0.5,1
55,1574295375255,Iris-virginica,Iris-virginica,10,0.5,0.5,1
56,1574295375255,Iris-virginica,Iris-virginica,10,0.5,0.5,1
57,1574295375255,Iris-setosa,Iris-setosa,10,0.5,0.5,1
58,1574295375255,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
59,1574295375255,Iris-virginica,Iris-virginica,10,0.5,0.5,1
60,1574295375255,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
61,1574295375255,Iris-setosa,Iris-setosa,10,0.5,0.5,1
62,1574295375255,Iris-virginica,Iris-virginica,10,0.5,0.5,1
63,1574295375255,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
64,1574295375255,Iris-virginica,Iris-virginica,10,0.5,0.5,1
65,1574295375255,Iris-virginica,Iris-virginica,10,0.5,0.5,1
66,1574295375256,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
67,1574295375256,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
68,1574295375256,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
69,1574295375256,Iris-virginica,Iris-virginica,10,0.5,0.5,1
70,1574295375256,Iris-setosa,Iris-setosa,10,0.5,0.5,1
71,1574295375256,Iris-versicolor,Iris-virginica,10,0.5,0.5,0
72,1574295375256,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
73,1574295375256,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
74,1574295375256,Iris-versicolor,Iris-versicolor,10,0.5,0.5,1
