testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295375433,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
1,1574295375433,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
2,1574295375433,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
3,1574295375433,Iris-virginica,Iris-virginica,7,0.6,0.4,1
4,1574295375433,Iris-setosa,Iris-setosa,7,0.6,0.4,1
5,1574295375433,Iris-virginica,Iris-virginica,7,0.6,0.4,1
6,1574295375433,Iris-setosa,Iris-setosa,7,0.6,0.4,1
7,1574295375433,Iris-setosa,Iris-setosa,7,0.6,0.4,1
8,1574295375433,Iris-setosa,Iris-setosa,7,0.6,0.4,1
9,1574295375433,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
10,1574295375433,Iris-virginica,Iris-virginica,7,0.6,0.4,1
11,1574295375434,Iris-setosa,Iris-setosa,7,0.6,0.4,1
12,1574295375434,Iris-setosa,Iris-setosa,7,0.6,0.4,1
13,1574295375434,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
14,1574295375434,Iris-virginica,Iris-virginica,7,0.6,0.4,1
15,1574295375434,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
16,1574295375434,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
17,1574295375434,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
18,1574295375434,Iris-setosa,Iris-setosa,7,0.6,0.4,1
19,1574295375434,Iris-setosa,Iris-setosa,7,0.6,0.4,1
20,1574295375434,Iris-virginica,Iris-virginica,7,0.6,0.4,1
21,1574295375434,Iris-setosa,Iris-setosa,7,0.6,0.4,1
22,1574295375434,Iris-setosa,Iris-setosa,7,0.6,0.4,1
23,1574295375434,Iris-setosa,Iris-setosa,7,0.6,0.4,1
24,1574295375434,Iris-virginica,Iris-virginica,7,0.6,0.4,1
25,1574295375434,Iris-setosa,Iris-setosa,7,0.6,0.4,1
26,1574295375434,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
27,1574295375435,Iris-virginica,Iris-virginica,7,0.6,0.4,1
28,1574295375435,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
29,1574295375435,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
30,1574295375435,Iris-setosa,Iris-setosa,7,0.6,0.4,1
31,1574295375435,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
32,1574295375435,Iris-virginica,Iris-virginica,7,0.6,0.4,1
33,1574295375435,Iris-setosa,Iris-setosa,7,0.6,0.4,1
34,1574295375435,Iris-virginica,Iris-virginica,7,0.6,0.4,1
35,1574295375435,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
36,1574295375435,Iris-setosa,Iris-setosa,7,0.6,0.4,1
37,1574295375435,Iris-virginica,Iris-virginica,7,0.6,0.4,1
38,1574295375435,Iris-virginica,Iris-virginica,7,0.6,0.4,1
39,1574295375435,Iris-virginica,Iris-virginica,7,0.6,0.4,1
40,1574295375436,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
41,1574295375436,Iris-versicolor,Iris-virginica,7,0.6,0.4,0
42,1574295375436,Iris-virginica,Iris-virginica,7,0.6,0.4,1
43,1574295375436,Iris-setosa,Iris-setosa,7,0.6,0.4,1
44,1574295375436,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
45,1574295375436,Iris-setosa,Iris-setosa,7,0.6,0.4,1
46,1574295375436,Iris-setosa,Iris-setosa,7,0.6,0.4,1
47,1574295375436,Iris-virginica,Iris-virginica,7,0.6,0.4,1
48,1574295375436,Iris-virginica,Iris-virginica,7,0.6,0.4,1
49,1574295375436,Iris-virginica,Iris-virginica,7,0.6,0.4,1
50,1574295375436,Iris-setosa,Iris-setosa,7,0.6,0.4,1
51,1574295375436,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
52,1574295375436,Iris-virginica,Iris-virginica,7,0.6,0.4,1
53,1574295375437,Iris-virginica,Iris-virginica,7,0.6,0.4,1
54,1574295375437,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
55,1574295375437,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
56,1574295375437,Iris-setosa,Iris-setosa,7,0.6,0.4,1
57,1574295375437,Iris-virginica,Iris-virginica,7,0.6,0.4,1
58,1574295375437,Iris-versicolor,Iris-versicolor,7,0.6,0.4,1
59,1574295375437,Iris-setosa,Iris-setosa,7,0.6,0.4,1
