testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295375721,Iris-virginica,Iris-virginica,9,0.7,0.3,1
1,1574295375721,Iris-setosa,Iris-setosa,9,0.7,0.3,1
2,1574295375721,Iris-virginica,Iris-virginica,9,0.7,0.3,1
3,1574295375721,Iris-setosa,Iris-setosa,9,0.7,0.3,1
4,1574295375721,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
5,1574295375721,Iris-setosa,Iris-setosa,9,0.7,0.3,1
6,1574295375721,Iris-virginica,Iris-virginica,9,0.7,0.3,1
7,1574295375721,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
8,1574295375721,Iris-setosa,Iris-setosa,9,0.7,0.3,1
9,1574295375721,Iris-virginica,Iris-virginica,9,0.7,0.3,1
10,1574295375722,Iris-setosa,Iris-setosa,9,0.7,0.3,1
11,1574295375722,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
12,1574295375722,Iris-virginica,Iris-virginica,9,0.7,0.3,1
13,1574295375722,Iris-virginica,Iris-virginica,9,0.7,0.3,1
14,1574295375722,Iris-virginica,Iris-virginica,9,0.7,0.3,1
15,1574295375722,Iris-virginica,Iris-virginica,9,0.7,0.3,1
16,1574295375722,Iris-setosa,Iris-setosa,9,0.7,0.3,1
17,1574295375722,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
18,1574295375722,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
19,1574295375722,Iris-setosa,Iris-setosa,9,0.7,0.3,1
20,1574295375722,Iris-virginica,Iris-virginica,9,0.7,0.3,1
21,1574295375722,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
22,1574295375722,Iris-setosa,Iris-setosa,9,0.7,0.3,1
23,1574295375722,Iris-setosa,Iris-setosa,9,0.7,0.3,1
24,1574295375722,Iris-setosa,Iris-setosa,9,0.7,0.3,1
25,1574295375722,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
26,1574295375722,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
27,1574295375722,Iris-setosa,Iris-setosa,9,0.7,0.3,1
28,1574295375722,Iris-virginica,Iris-virginica,9,0.7,0.3,1
29,1574295375723,Iris-virginica,Iris-virginica,9,0.7,0.3,1
30,1574295375723,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
31,1574295375723,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
32,1574295375723,Iris-setosa,Iris-setosa,9,0.7,0.3,1
33,1574295375723,Iris-setosa,Iris-setosa,9,0.7,0.3,1
34,1574295375723,Iris-virginica,Iris-virginica,9,0.7,0.3,1
35,1574295375723,Iris-setosa,Iris-setosa,9,0.7,0.3,1
36,1574295375723,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
37,1574295375723,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
38,1574295375723,Iris-virginica,Iris-virginica,9,0.7,0.3,1
39,1574295375723,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
40,1574295375723,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
41,1574295375723,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
42,1574295375723,Iris-setosa,Iris-setosa,9,0.7,0.3,1
43,1574295375723,Iris-virginica,Iris-virginica,9,0.7,0.3,1
44,1574295375723,Iris-versicolor,Iris-versicolor,9,0.7,0.3,1
