testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295375793,Iris-setosa,Iris-setosa,11,0.8,0.2,1
1,1574295375793,Iris-versicolor,Iris-versicolor,11,0.8,0.2,1
2,1574295375793,Iris-setosa,Iris-setosa,11,0.8,0.2,1
3,1574295375794,Iris-virginica,Iris-virginica,11,0.8,0.2,1
4,1574295375794,Iris-versicolor,Iris-virginica,11,0.8,0.2,0
5,1574295375794,Iris-virginica,Iris-virginica,11,0.8,0.2,1
6,1574295375794,Iris-versicolor,Iris-versicolor,11,0.8,0.2,1
7,1574295375794,Iris-virginica,Iris-virginica,11,0.8,0.2,1
8,1574295375794,Iris-setosa,Iris-setosa,11,0.8,0.2,1
9,1574295375794,Iris-virginica,Iris-virginica,11,0.8,0.2,1
10,1574295375794,Iris-versicolor,Iris-versicolor,11,0.8,0.2,1
11,1574295375794,Iris-virginica,Iris-virginica,11,0.8,0.2,1
12,1574295375794,Iris-setosa,Iris-setosa,11,0.8,0.2,1
13,1574295375794,Iris-versicolor,Iris-versicolor,11,0.8,0.2,1
14,1574295375794,Iris-setosa,Iris-setosa,11,0.8,0.2,1
15,1574295375794,Iris-virginica,Iris-virginica,11,0.8,0.2,1
16,1574295375795,Iris-setosa,Iris-setosa,11,0.8,0.2,1
17,1574295375795,Iris-virginica,Iris-virginica,11,0.8,0.2,1
18,1574295375795,Iris-versicolor,Iris-versicolor,11,0.8,0.2,1
19,1574295375795,Iris-setosa,Iris-setosa,11,0.8,0.2,1
20,1574295375795,Iris-setosa,Iris-setosa,11,0.8,0.2,1
21,1574295375795,Iris-setosa,Iris-setosa,11,0.8,0.2,1
22,1574295375795,Iris-versicolor,Iris-versicolor,11,0.8,0.2,1
23,1574295375795,Iris-versicolor,Iris-virginica,11,0.8,0.2,0
24,1574295375795,Iris-setosa,Iris-setosa,11,0.8,0.2,1
25,1574295375795,Iris-versicolor,Iris-versicolor,11,0.8,0.2,1
26,1574295375795,Iris-setosa,Iris-setosa,11,0.8,0.2,1
27,1574295375795,Iris-setosa,Iris-setosa,11,0.8,0.2,1
28,1574295375795,Iris-virginica,Iris-virginica,11,0.8,0.2,1
29,1574295375795,Iris-virginica,Iris-virginica,11,0.8,0.2,1
