testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295375850,Iris-versicolor,Iris-versicolor,10,0.9,0.1,1
1,1574295375850,Iris-virginica,Iris-virginica,10,0.9,0.1,1
2,1574295375850,Iris-setosa,Iris-setosa,10,0.9,0.1,1
3,1574295375850,Iris-versicolor,Iris-versicolor,10,0.9,0.1,1
4,1574295375850,Iris-setosa,Iris-setosa,10,0.9,0.1,1
5,1574295375850,Iris-virginica,Iris-virginica,10,0.9,0.1,1
6,1574295375850,Iris-setosa,Iris-setosa,10,0.9,0.1,1
7,1574295375850,Iris-versicolor,Iris-versicolor,10,0.9,0.1,1
8,1574295375850,Iris-versicolor,Iris-versicolor,10,0.9,0.1,1
9,1574295375850,Iris-setosa,Iris-setosa,10,0.9,0.1,1
10,1574295375850,Iris-virginica,Iris-virginica,10,0.9,0.1,1
11,1574295375851,Iris-versicolor,Iris-versicolor,10,0.9,0.1,1
12,1574295375851,Iris-virginica,Iris-virginica,10,0.9,0.1,1
13,1574295375851,Iris-virginica,Iris-virginica,10,0.9,0.1,1
14,1574295375851,Iris-virginica,Iris-virginica,10,0.9,0.1,1
