testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295375854,Iris-setosa,Iris-setosa,3,0.9,0.1,1
1,1574295375854,Iris-setosa,Iris-setosa,3,0.9,0.1,1
2,1574295375854,Iris-virginica,Iris-virginica,3,0.9,0.1,1
3,1574295375854,Iris-virginica,Iris-virginica,3,0.9,0.1,1
4,1574295375854,Iris-versicolor,Iris-versicolor,3,0.9,0.1,1
5,1574295375855,Iris-setosa,Iris-setosa,3,0.9,0.1,1
6,1574295375855,Iris-setosa,Iris-setosa,3,0.9,0.1,1
7,1574295375855,Iris-virginica,Iris-virginica,3,0.9,0.1,1
8,1574295375855,Iris-virginica,Iris-virginica,3,0.9,0.1,1
9,1574295375855,Iris-virginica,Iris-virginica,3,0.9,0.1,1
10,1574295375855,Iris-virginica,Iris-virginica,3,0.9,0.1,1
11,1574295375855,Iris-virginica,Iris-virginica,3,0.9,0.1,1
12,1574295375855,Iris-setosa,Iris-setosa,3,0.9,0.1,1
13,1574295375855,Iris-virginica,Iris-virginica,3,0.9,0.1,1
14,1574295375855,Iris-versicolor,Iris-versicolor,3,0.9,0.1,1
