testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295375913,Iris-versicolor,Iris-versicolor,5,0.9,0.1,1
1,1574295375913,Iris-versicolor,Iris-versicolor,5,0.9,0.1,1
2,1574295375913,Iris-setosa,Iris-setosa,5,0.9,0.1,1
3,1574295375913,Iris-setosa,Iris-setosa,5,0.9,0.1,1
4,1574295375914,Iris-setosa,Iris-setosa,5,0.9,0.1,1
5,1574295375914,Iris-versicolor,Iris-versicolor,5,0.9,0.1,1
6,1574295375914,Iris-virginica,Iris-virginica,5,0.9,0.1,1
7,1574295375914,Iris-virginica,Iris-virginica,5,0.9,0.1,1
8,1574295375914,Iris-virginica,Iris-versicolor,5,0.9,0.1,0
9,1574295375914,Iris-versicolor,Iris-versicolor,5,0.9,0.1,1
10,1574295375914,Iris-virginica,Iris-virginica,5,0.9,0.1,1
11,1574295375914,Iris-setosa,Iris-setosa,5,0.9,0.1,1
12,1574295375914,Iris-versicolor,Iris-versicolor,5,0.9,0.1,1
13,1574295375914,Iris-virginica,Iris-versicolor,5,0.9,0.1,0
14,1574295375915,Iris-virginica,Iris-virginica,5,0.9,0.1,1
