testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295375903,Iris-setosa,Iris-setosa,11,0.9,0.1,1
1,1574295375903,Iris-setosa,Iris-setosa,11,0.9,0.1,1
2,1574295375903,Iris-versicolor,Iris-versicolor,11,0.9,0.1,1
3,1574295375903,Iris-versicolor,Iris-versicolor,11,0.9,0.1,1
4,1574295375903,Iris-virginica,Iris-virginica,11,0.9,0.1,1
5,1574295375904,Iris-virginica,Iris-virginica,11,0.9,0.1,1
6,1574295375904,Iris-versicolor,Iris-versicolor,11,0.9,0.1,1
7,1574295375904,Iris-versicolor,Iris-versicolor,11,0.9,0.1,1
8,1574295375904,Iris-virginica,Iris-virginica,11,0.9,0.1,1
9,1574295375904,Iris-versicolor,Iris-versicolor,11,0.9,0.1,1
10,1574295375904,Iris-setosa,Iris-setosa,11,0.9,0.1,1
11,1574295375904,Iris-setosa,Iris-setosa,11,0.9,0.1,1
12,1574295375905,Iris-virginica,Iris-virginica,11,0.9,0.1,1
13,1574295375905,Iris-virginica,Iris-virginica,11,0.9,0.1,1
14,1574295375905,Iris-versicolor,Iris-versicolor,11,0.9,0.1,1
