testno,time,prediction,actual,K,trainingSize,testingSize,correct
0,1574295375927,Iris-versicolor,Iris-versicolor,11,0.9,0.1,1
1,1574295375927,Iris-versicolor,Iris-versicolor,11,0.9,0.1,1
2,1574295375927,Iris-setosa,Iris-setosa,11,0.9,0.1,1
3,1574295375927,Iris-virginica,Iris-versicolor,11,0.9,0.1,0
4,1574295375927,Iris-virginica,Iris-virginica,11,0.9,0.1,1
5,1574295375927,Iris-virginica,Iris-virginica,11,0.9,0.1,1
6,1574295375927,Iris-setosa,Iris-setosa,11,0.9,0.1,1
7,1574295375927,Iris-versicolor,Iris-versicolor,11,0.9,0.1,1
8,1574295375927,Iris-versicolor,Iris-versicolor,11,0.9,0.1,1
9,1574295375928,Iris-versicolor,Iris-virginica,11,0.9,0.1,0
10,1574295375928,Iris-virginica,Iris-virginica,11,0.9,0.1,1
11,1574295375928,Iris-versicolor,Iris-versicolor,11,0.9,0.1,1
12,1574295375928,Iris-virginica,Iris-virginica,11,0.9,0.1,1
13,1574295375928,Iris-setosa,Iris-setosa,11,0.9,0.1,1
14,1574295375928,Iris-versicolor,Iris-versicolor,11,0.9,0.1,1
